family,true_eig_err
hermite,0.0133333128393231
hermite,0.5066254761148201
hermite,0.0133351123787946
linear,0.0117997038131899
poly,0.0034221588694479
poly,0.0034297801444436
poly,0.0034221588304197
poly,0.0034221587514087
rbf,0.0034221588058209
rbf,0.0034221588058211
rbf,0.0034221588058212
rbf,0.0034221588058209
rbf,0.003422158805821
rbf,0.0034221588058212
rbf,0.0034221588058213
rbf,0.003422158805821
rbf,0.0034221588058209
rbf,0.0034221588058213
rbf,0.0034221588585409
rbf,0.003422158858541
rbf,0.0034221588585409
rbf,0.0034221588585409
rbf,0.0034221588585408
rbf,0.0034221588585408
rbf,0.0034221588585409
rbf,0.0034221588585411
rbf,0.0034221588585411
rbf,0.0034221588585409
rbf,0.0034221588679172
rbf,0.0034221588679176
rbf,0.0034221588679177
rbf,0.0034221588679178
rbf,0.0034221588679175
rbf,0.003422158867918
rbf,0.003422158867918
rbf,0.0034221588679176
rbf,0.0034221588679178
rbf,0.003422158867918
rbf,0.0034221585567927
rbf,0.0034221585567928
rbf,0.0034221585567926
rbf,0.0034221585567926
rbf,0.0034221585567925
rbf,0.0034221585567927
rbf,0.0034221585567927
rbf,0.0034221585567931
rbf,0.0034221585567928
rbf,0.0034221585567929
rbf,0.0034221573612441
rbf,0.0034221573612442
rbf,0.0034221573612443
rbf,0.0034221573612444
rbf,0.0034221573612438
rbf,0.0034221573612442
rbf,0.0034221573612441
rbf,0.0034221573612442
rbf,0.0034221573612441
rbf,0.0034221573612441
hermite,0.5066254761148201
hermite,0.0133333128393231
hermite,0.0133351123787946
linear,0.0117997038131899
poly,0.0034221588694479
poly,0.0034297801444436
poly,0.0034221588304197
poly,0.0034221587514087
rbf,0.0034221588585409
rbf,0.003422158858541
rbf,0.0034221588585409
rbf,0.0034221588585409
rbf,0.0034221588585411
rbf,0.0034221588585408
rbf,0.0034221588585408
rbf,0.0034221588585409
rbf,0.0034221588585411
rbf,0.0034221588585409
rbf,0.0034221588058209
rbf,0.0034221588058211
rbf,0.003422158805821
rbf,0.0034221588058212
rbf,0.0034221588058209
rbf,0.0034221588058212
rbf,0.0034221588058213
rbf,0.003422158805821
rbf,0.0034221588058209
rbf,0.0034221588058213
rbf,0.0034221588679172
rbf,0.0034221588679176
rbf,0.0034221588679175
rbf,0.003422158867918
rbf,0.0034221588679176
rbf,0.0034221588679178
rbf,0.003422158867918
rbf,0.0034221588679177
rbf,0.0034221588679178
rbf,0.003422158867918
rbf,0.0034221585567927
rbf,0.0034221585567926
rbf,0.0034221585567928
rbf,0.0034221585567925
rbf,0.0034221585567927
rbf,0.0034221585567926
