family,system,kind,kernel,method,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,agg_horizon_instab,agg_horizon_sens,admissible,constraint_violations,score_v1,rank_v1,score_unified,rank_unified,score_unified_pooled,rank_unified_pooled
hermite,linear,A=rev,hermite(ugly),PCR,0.0,0.0,2.353577712718333,0.0,0.9166253212987404,0.0862264930107284,3.2,2.0,0.6587082571142214,0.0,0.06352808283663297,True,,-1.6477712222022487,4,-3.4536497911645565,1,-5.751610663294988,1
hermite,linear,A=rev,hermite(good),PCR,0.0001376773044392,0.0001297007157815,12.7718180229665,1.2079611799900956e-05,0.2550879785406104,0.0298638163546193,0.6,4.0,0.020298590212611,1.5775591943878453e-10,0.040657679865790546,True,,-2.624933053363653,1,-0.7301351881010445,2,6.037993086748929,58
hermite,linear,A=rev,hermite(bad),PCR,2.637919746317937,1.1267974461346784,7.371947899342081,0.3681254913762432,0.4685029927040617,0.128585475618458,0.8,4.9,0.0233227241027041,0.0,0.11731490156905414,True,,3.109842649047047,9,4.183784979265602,3,4.526381925260269,56
linear,linear,A=rev,linear,PCR,0.0,0.0,5.784680604099734,0.0,0.6014280324229888,0.0393477306643901,3.0,4.8,0.0204759936663733,0.0,0.04465534443813189,True,,1.289478483988596,3,0.0,1,1.9016586503896813,46
poly,linear,A=rev,poly(p=1),PCR,0.0,0.0,7.701094926459095,0.0,0.2510288873392008,0.0222735843211474,2.0,3.8,0.0214172698641275,0.0,0.026609928633858786,True,,-1.3571961705814906,6,-4.912846424981635,1,-4.667878822825346,2
poly,linear,A=rev,poly(p=2),PCR,0.6453044302426898,0.1460280257602317,6.957980528155344,0.093014512031929,0.3511613308337035,0.0327902876724208,0.0,5.0,0.0202977913238162,0.0,0.035766819584804356,True,,0.2818659499546926,10,-1.6352628674082132,2,-2.3167679796180476,3
poly,linear,A=rev,poly(p=3),PCR,1.979716156650871,0.4985929545343259,5.945264641116329,0.3390686627365432,0.4399114011854174,0.0404375357229511,0.0,5.0,0.0194405162031404,0.0,0.05287493783460731,True,,2.323035617631526,13,1.3042500400978339,3,-0.9387102068869773,28
poly,linear,A=rev,poly(p=4),PCR,3.8557763297791303,0.9735238418902852,4.773385448873014,0.8289928309376158,0.5129231098982461,0.0371941012627115,0.0,5.0,0.0126256315929029,0.0,0.0700929866132341,True,,5.083537412609598,14,5.243859252292013,4,0.2162127011079793,37
rbf,linear,A=rev,rbf(gamma=0.14455342913983968),PCR,233.4133561442937,,10.01462544014087,23.3072477387642,0.3107157721794841,,0.0,5.0,0.0234053683997392,0.0,0.0,True,,-2.3886819339513954,20,-2.9713536960157025,1,-2.182574200101399,4
rbf,linear,A=rev,rbf(gamma=0.16077889909457882),PCR,261.6948326717978,,9.975149013523392,26.234679032565424,0.3511092267654492,,0.0,5.0,0.0281229658227268,0.0,0.0,True,,-2.4023924982346063,19,-2.6423313177326118,2,-1.7934754349748296,9
rbf,linear,A=rev,rbf(gamma=0.12981024004046163),PCR,259.10633807976444,,10.275258415718207,25.21652766254577,0.3253912422120274,,0.0,5.0,0.0250528590432983,0.0,0.0,True,,-2.3826836484361857,21,-2.3796265436812756,3,-1.8711353140291915,7
rbf,linear,A=rev,rbf(gamma=0.32155779818915764),PCR,866.4553400094521,,9.62710264648707,90.00167255156688,0.3889286619595476,,0.0,5.0,0.0287479882324858,0.0,0.0,True,,-1.9530856332421076,40,-2.1209039562196903,4,-1.1140141824518461,24
rbf,linear,A=rev,rbf(gamma=0.08038944954728941),PCR,41.75961486317493,,10.729460411032427,3.892051721467386,0.3241012478449803,,0.0,5.0,0.028504695442215,0.0,0.0,True,,-2.709775956573262,6,-2.0602853344002225,5,-1.8155220298014247,8
rbf,linear,A=rev,rbf(gamma=0.2452238173637312),PCR,675.9554368564748,,9.845285457549886,68.65777937785606,0.3623331918644154,,0.0,5.0,0.023368613528321,0.0,0.0,True,,-1.8299231502496784,47,-1.998494711908206,6,-1.3890631015769044,16
rbf,linear,A=rev,rbf(gamma=0.06490512002023081),PCR,44.45338165305644,,10.958785419537156,4.056415008711242,0.2966368489996043,,0.0,5.0,0.0244942831412287,0.0,0.0,True,,-2.631625162634737,11,-1.8735035548416485,7,-1.940525229177488,6
rbf,linear,A=rev,rbf(gamma=0.1226119086818656),PCR,263.7674410009516,,10.373059617550856,25.42812349739765,0.3322136347420257,,0.0,5.0,0.0219108136864421,0.0,0.0,True,,-2.09054448457988,35,-1.8731146442927058,8,-1.7219747250847692,10
rbf,linear,A=rev,rbf(gamma=0.07227671456991984),PCR,51.113400199038736,,11.139164903412253,4.5886204793845184,0.283417857373624,,0.0,5.0,0.0232990588042356,0.0,0.0,True,,-2.6466506692261467,9,-1.7150955027207695,9,-1.9605274885808983,5
rbf,linear,A=rev,rbf(gamma=0.25962048008092325),PCR,1169.8273389201177,,9.964367400201764,117.40106440639984,0.3612786624787276,,0.0,5.0,0.0270612633794878,0.0,0.0,True,,-1.965793537823482,39,-1.6931344656633933,10,-0.9590589607020463,26
rbf,linear,A=rev,rbf(gamma=0.21535964782579176),PCR,665.5305408946464,,9.942453814980588,66.93825822875554,0.3643274967272326,,0.0,5.0,0.0182022649993978,0.0,0.0,True,,-1.4318498265660558,74,-1.4474079524893213,11,-1.291187220264006,18
rbf,linear,A=rev,rbf(gamma=0.11894600454840942),PCR,151.4074512263708,,10.303080539227636,14.695357437021546,0.3620090442604282,,0.0,5.0,0.0200435226964803,0.0,0.0,True,,-1.7409855929262026,53,-1.424463854594819,12,-1.5319833671209027,12
rbf,linear,A=rev,rbf(gamma=0.23789200909681885),PCR,877.9470999094223,,9.808590439054496,89.50797827318118,0.3902227719312133,,0.0,5.0,0.0218986929163951,0.0,0.0,True,,-1.4301530122401376,75,-1.3083787825048572,13,-0.949438766822049,27
rbf,linear,A=rev,rbf(gamma=0.10767982391289588),PCR,233.25563512089087,,10.5064733947827,22.201135086557294,0.3386820326753677,,0.0,5.0,0.0166388573590878,0.0,0.0,True,,-1.6522781015843766,60,-1.1906495356426599,14,-1.5709814940562639,11
rbf,linear,A=rev,rbf(gamma=0.1259009699145778),PCR,177.59267822833314,,10.43485209763704,17.01918499338853,0.354787173226705,,0.0,5.0,0.0178892913677296,0.0,0.0,True,,-1.630564860739689,61,-1.1595705412019517,15,-1.497130167046494,14
rbf,linear,A=rev,rbf(gamma=0.25743184829229704),PCR,923.9397638931428,,10.005994670990075,92.33862242320389,0.3906701794909191,,0.0,5.0,0.0240244936416182,0.0,0.0,True,,-1.573784544592708,63,-1.0909385625999235,16,-0.8112808243045029,31
rbf,linear,A=rev,rbf(gamma=0.28910685827967936),PCR,1268.7098363061946,,10.058996709572796,126.12687656004574,0.3737355410023583,,0.0,5.0,0.0242788184524583,0.0,0.0,True,,-1.6285947559161298,62,-1.0472788536700384,17,-0.6825796000963733,32
rbf,linear,A=rev,rbf(gamma=0.20586290058646464),PCR,719.0764705175104,,10.145662278836456,70.87526183652714,0.3628470595854071,,0.0,5.0,0.0173682071769593,0.0,0.0,True,,-1.3670185541378506,79,-1.038167962075284,18,-1.1447109358581562,22
rbf,linear,A=rev,rbf(gamma=0.2518019398291556),PCR,837.6097775136607,,9.92668675649119,84.37959190824036,0.3906324019681202,,0.0,5.0,0.0199945055254617,0.0,0.0,True,,-1.2984041028445683,82,-1.0050513832470378,19,-0.9006441225997202,30
rbf,linear,A=rev,rbf(gamma=0.3234700632512718),PCR,1040.3825302491298,,9.985213245514622,104.1923196499055,0.4202746127732296,,0.0,5.0,0.0299963517271663,0.0,0.0,True,,-1.7422086125281169,51,-0.9381433503177914,20,-0.45945675701012534,34
rbf,linear,A=rev,rbf(gamma=0.10293145029323232),PCR,338.68857647916013,,10.607501663433464,31.929156103429968,0.3331142170619383,,0.0,5.0,0.0151422136288469,0.0,0.0,True,,-1.555346518010493,64,-0.9335215824153587,21,-1.4786692607477583,15
rbf,linear,A=rev,rbf(gamma=0.12871592414614852),PCR,373.9831020516031,,10.603270097669505,35.27054376685179,0.3664710833126527,,0.0,5.0,0.020592412590966,0.0,0.0,True,,-1.6794898052863794,58,-0.7157047433314743,22,-1.1414742564823985,23
rbf,linear,A=rev,rbf(gamma=0.0613059543409328),PCR,50.00663188826117,,11.411231630055356,4.382229150142892,0.3100108299136054,,0.0,5.0,0.0216622839481989,0.0,0.0,True,,-2.304531127893957,25,-0.6840277001151693,23,-1.5194167452402385,13
rbf,linear,A=rev,rbf(gamma=0.1617350316256359),PCR,320.1811932048531,,10.680308694693508,29.97864596965578,0.3923256879844816,,0.0,5.0,0.0262234610074696,0.0,0.0,True,,-1.9035421357319515,41,-0.5757783195296283,24,-0.9065544468322966,29
rbf,linear,A=rev,rbf(gamma=0.4904476347274624),PCR,2094.056798076625,,9.78847103385141,213.93093883965756,0.4030543948962415,,0.0,5.0,0.0269530644992626,0.0,0.0,True,,-1.3289723857062945,80,-0.5113884602906236,25,0.12376376892817814,36
rbf,linear,A=rev,rbf(gamma=0.4307192956515835),PCR,1754.0179374397512,,9.87793102579038,177.56936476476398,0.3986493387738172,,0.0,5.0,0.0218761167821938,0.0,0.0,True,,-1.0937778061187502,93,-0.3546613810066582,26,-0.11835953692400744,35
rbf,linear,A=rev,rbf(gamma=0.5192409601618465),PCR,2556.562122851782,,9.956899745417626,256.7628667777202,0.4024020544957241,,0.0,5.0,0.0315068228959639,0.0,0.0,True,,-1.542245944528352,65,-0.20976474330830175,27,0.5486219454040357,39
rbf,linear,A=rev,rbf(gamma=0.6431155963783153),PCR,2425.4521189891047,,9.653058937150256,251.26254120905003,0.4421028627513628,,0.0,5.0,0.0311324181376986,0.0,0.0,True,,-1.21222653334039,89,-0.07827767727474988,28,0.7008126682426483,42
rbf,linear,A=rev,rbf(gamma=0.05947300227420471),PCR,39.78808210905556,,11.368775860084614,3.4997683654535017,0.3399108100047002,,0.0,5.0,0.0193593576290966,0.0,0.0,True,,-1.8915142357459689,43,-0.0777280763187983,29,-1.2288636982859067,20
rbf,linear,A=rev,rbf(gamma=0.4757840181936377),PCR,2179.2532112021554,,9.719782934360197,224.2080122487431,0.4258218775344762,,0.0,5.0,0.0256038093180939,0.0,0.0,True,,-1.012594830763431,97,-0.06125851344941595,30,0.4005432771817871,38
rbf,linear,A=rev,rbf(gamma=0.0629504849572889),PCR,37.09742431604058,,11.511038428619315,3.222769565585596,0.3273649046003809,,0.0,5.0,0.0174735639828648,0.0,0.0,True,,-1.8524230449143129,44,0.0707826561397078,31,-1.2669628170778178,19
rbf,linear,A=rev,rbf(gamma=0.5148636965845941),PCR,2449.594937775142,,9.844503233696669,248.82869959252423,0.428499137268988,,0.0,5.0,0.0288786438107452,0.0,0.0,True,,-1.1588415181078178,92,0.16774355008651767,32,0.6908737225002768,41
rbf,linear,A=rev,rbf(gamma=0.05146572514661616),PCR,54.99757433204061,,11.685261491242144,4.706576260467951,0.3114624271675547,,0.0,5.0,0.0141931465235816,0.0,0.0,True,,-1.730902481117932,55,0.3276740836671705,33,-1.2971264196618164,17
rbf,linear,A=rev,rbf(gamma=0.5036038796583112),PCR,2130.109460232368,,9.914269202081716,214.8528970531792,0.4338820480958922,,0.0,5.0,0.0249049379515824,0.0,0.0,True,,-0.9191514060075818,102,0.4017550367108217,34,0.5492283217068563,40
rbf,linear,A=rev,rbf(gamma=0.05383991195644794),PCR,101.53787150479462,,11.721792485887372,8.662316077258891,0.3189524636895935,,0.0,5.0,0.0161748125322084,0.0,0.0,True,,-1.8050587393475417,49,0.4140134939061894,35,-1.1751040283705683,21
rbf,linear,A=rev,rbf(gamma=0.6469401265025436),PCR,3021.274395707187,,9.905419984623183,305.0122458610846,0.4495464411017466,,0.0,5.0,0.0381134749658134,0.0,0.0,True,,-1.5059510775653957,67,0.43126258051697475,36,1.3436383849771445,45
rbf,linear,A=rev,rbf(gamma=0.06435796207307426),PCR,87.10349321568138,,11.678212784225517,7.458632140470796,0.3376848833081838,,0.0,5.0,0.0184807343890245,0.0,0.0,True,,-1.828302371496328,48,0.49509780653136226,37,-1.031570589444158,25
rbf,linear,A=rev,rbf(gamma=0.5782137165593587),PCR,2380.045700960944,,9.87345029938642,241.055115364165,0.4474256301785799,,0.0,5.0,0.0266996242372307,0.0,0.0,True,,-0.8643693700541359,105,0.6432761220446908,38,0.8584266357130739,43
rbf,linear,A=rev,rbf(gamma=0.4117258011729293),PCR,2853.8235102269,,10.145394184913917,281.29252133648026,0.3983083828496758,,0.0,5.0,0.0211986383009563,0.0,0.0,True,,-0.728739936296706,107,0.9796543081628061,39,0.901967336730676,44
rbf,linear,A=rev,rbf(gamma=0.08086751581281795),PCR,82.98060362551067,,12.036495731340253,6.894083251277891,0.3669321992834745,,0.0,5.0,0.0248677464076998,0.0,0.0,True,,-2.063404212153908,36,1.1469483874813753,40,-0.5641410607319898,33
rbf,linear,A=rev,rbf(gamma=0.861438591303167),PCR,3770.5506672797896,,10.237014634233123,368.32521999830567,0.4449366026046247,,0.0,5.0,0.0283995670015576,0.0,0.0,True,,-0.6207148021477507,118,2.1458472589942326,41,2.1159568516837823,47
rbf,linear,A=rev,rbf(gamma=0.9808952694549248),PCR,4633.456146526209,,10.198136632827357,454.3434073643724,0.4556637323369739,,0.0,5.0,0.0335444106202569,0.0,0.0,True,,-0.6584561923169145,115,2.582736730318816,42,2.8644268823634715,49
rbf,linear,A=rev,rbf(gamma=0.9515680363872754),PCR,4252.391153323817,,10.201764114463652,416.8290018875214,0.4662193893386835,,0.0,5.0,0.0318010430173987,0.0,0.0,True,,-0.5551516723926193,121,2.5982066891007296,43,2.682207503105461,48
rbf,linear,A=rev,rbf(gamma=1.038481920323693),PCR,5067.597565834473,,10.31391748863989,491.3358645166692,0.4500924321604368,,0.0,5.0,0.0387818662906206,0.0,0.0,True,,-0.9803067672155776,98,2.6324066227441847,44,3.1729512114134195,51
rbf,linear,A=rev,rbf(gamma=0.8234516023458586),PCR,4752.0186831456695,,10.519820698793575,451.7205016327546,0.4326338186668776,,0.0,5.0,0.0268168640469284,0.0,0.0,True,,-0.344458353677978,128,3.245165496349637,45,2.9090879630676696,50
rbf,linear,A=rev,rbf(gamma=1.0072077593166224),PCR,4733.936018667241,,10.28597666503842,460.23203948708925,0.4829916233398717,,0.0,5.0,0.0332538390242356,0.0,0.0,True,,-0.3934908835993509,125,3.2943092883722542,46,3.2687880248556516,52
rbf,linear,A=rev,rbf(gamma=1.2938802530050872),PCR,6622.942012664684,,10.33636124485066,640.7421195697937,0.4821096499647948,,0.0,5.0,0.0520102379668411,0.0,0.0,True,,-1.2541569723524226,85,3.5009534957172983,47,4.66750974771541,57
rbf,linear,A=rev,rbf(gamma=1.2862311927566306),PCR,5220.998441841022,,10.080035189795788,517.9543864218191,0.5034412950827483,,0.0,5.0,0.0357669823040415,0.0,0.0,True,,-0.245190967620782,131,3.53822573189488,48,3.7607290794007397,53
rbf,linear,A=rev,rbf(gamma=1.0297273931691882),PCR,6462.176119137071,,10.211669798909384,632.8226672416727,0.4682163977706352,,0.0,5.0,0.0364574074531913,0.0,0.0,True,,-0.2345190200534558,132,4.044274154629797,49,4.438851880360158,55
rbf,linear,A=rev,rbf(gamma=1.1564274331187174),PCR,5708.801532203088,,10.159414258796922,561.9223103595664,0.5129511466390368,,0.0,5.0,0.03133491013078,0.0,0.0,True,,0.2980165977866181,146,4.519672209490713,50,4.3098428852264385,54
hermite,linear,A=rev,hermite(bad),Reduced Rank,2.1561435105368947,3.5168300705314843,3.2823610219410684,0.595743000777393,0.3872691333455513,0.1181468951274832,0.4,2.8,0.0196161007115474,0.0,0.14646659640584436,True,,1.5671395451075898,6,-1.6455307685460032,1,-4.922271157932143,5
hermite,linear,A=rev,hermite(good),Reduced Rank,1.2230818266532408,0.8285055422439263,589.1749997977668,0.0029622513978941,0.4446756530528943,0.1557711302528512,0.6,4.3,0.0383018747708627,0.012114424848606808,1.1372668262336367,True,,2.5148058957811474,8,0.7927244774543656,2,3.770482941404783,50
