family,system,kind,kind_n,kernel,method,agg_bias_mean,agg_dist_mean,agg_spurious_mean,agg_trunc_mean,agg_bias_std,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,agg_horizon_instab,agg_horizon_sens,sc,vamp2,admissible_v2_fam,violations_v2_fam,rank_v2_fam,admissible_v2_pooled,violations_v2_pooled,rank_v2_pooled,admissible_v3_fam,violations_v3_fam,rank_v3_fam,admissible_v3_pooled,violations_v3_pooled,rank_v3_pooled,true_eig_err,agg_koopman_gap,score_noSSL_fam,score_noSSL_pooled,score_fam,score_pooled
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=1.4467645746327429),Reduced Rank,20.782134139812392,50.66985862253499,0.0852583415306111,0.4101478611698694,,,,2.0,7.534463329528229e-05,0.0,-1.4589597192920276,3.000000000000409,True,,8,True,,15,True,,4,True,,14,,0.0250827241173312,-3.3810647097215183,-1.9648644736331926,-3.3454715174502048,-2.1813954863007705
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.33069969024156304),Reduced Rank,13.461633702577103,33.8156836893219,0.0795339588621543,0.398088467654668,,,,2.0,0.000187575907875,0.0,-1.2818328223544675,3.000000000000276,True,,7,True,,13,True,,9,True,,13,,0.0115683014482633,-4.9174583391531534,-2.195500803100252,-3.7515614011041407,-2.3320385214560293
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=1.0711492864916123),Reduced Rank,2.8710674266722256,39.61224750800839,0.1222390950221369,0.0724792862634664,,,,4.0,7.940144094176205e-05,0.0,-1.417286616358016,3.0000000000006306,True,,3,True,,55,True,,1,True,,54,,0.028413215449831,-2.64480113240547,-0.06776927342825828,-2.6949678281864307,-0.26548005695230437
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.5415719103032706),Reduced Rank,6.963124360898132,37.432198966011285,0.0840474598904132,0.1860196449377901,,,,4.0,7.776108895574119e-06,0.0,-1.3354650521365607,3.000000000000473,True,,5,True,,51,True,,5,True,,50,,0.0061185968050806,-4.903435211526403,-0.24825375135508132,-4.297843999597493,-0.4090126287542166
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=2.1422985729832247),Reduced Rank,6.092548045723462,36.6042944022019,0.1314977528734565,0.1664435319741327,,,,4.0,0.0001074585036685,0.0,-1.51872392625502,3.0000000000004303,True,,4,True,,62,True,,3,True,,61,,0.0285476618240279,-1.8383538850002636,0.11952781729997486,-2.1512728781532995,-0.12399365181185285
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.18774986000398033),Reduced Rank,1.5023519810550776,38.04260469331312,0.0855682847750175,0.0394913017435725,,,,4.0,0.0,0.0,-1.220203824644544,3.0000000000001967,True,,2,True,,45,True,,6,True,,45,,0.0066737388676886,-6.122203688876774,-0.5088009664008968,-4.517576142109559,-0.6175060594626509
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.6613993804831261),Reduced Rank,37.784048443973965,35.98043132314033,0.0764822813774276,1.0501277237239135,,,,2.0,0.0002103155075083,0.0,-1.3580076467129765,3.000000000000324,True,,15,True,,14,True,,14,True,,15,,0.0107105569657001,-3.7526383535671566,-2.021371558123222,-3.060477723005957,-2.1923110260123106
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.42253546860264124),Reduced Rank,5.013480797454772,40.65894612447912,0.0954767357513455,0.1233057242090285,,,,4.0,0.0,0.0,-1.308319645357572,3.0000000000002376,True,,9,True,,52,True,,10,True,,52,,0.0213720926232326,-3.805064162857467,-0.172949464938801,-2.7273879393504235,-0.32144904941708996
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.37549972000796067),Reduced Rank,5.339919275134048,41.319797587621416,0.0937024666851174,0.129233916594349,,,,4.0,3.704335447607399e-06,0.0,-1.2955574293866423,3.000000000000341,True,,10,True,,53,True,,11,True,,53,,0.0057515579943208,-4.690938335654635,-0.20723952916697588,-3.6890350628856927,-0.3499754960588522
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=0.643601955739302),Reduced Rank,17.709165704894193,16.74244658110666,0.1139450220993427,1.0577406127058189,,,,4.0,0.0001480561138983,0.0,-1.3548791668477271,3.000000000000307,True,,11,True,,59,True,,8,True,,59,,0.0215640762093936,-3.8786990326076993,0.012820169275715054,-3.1457656377411642,-0.1567064278696379
