family,system,kind,kind_n,kernel,method,score_v1,rank_v1,agg_bias_mean,agg_dist_mean,agg_spurious_mean,agg_trunc_mean,agg_bias_std,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,agg_horizon_instab,agg_horizon_sens,sc,vamp2,v2_fam,admissible_v2_fam,violations_v2_fam,rank_v2_fam,v2_pooled,admissible_v2_pooled,violations_v2_pooled,rank_v2_pooled,v3_fam,admissible_v3_fam,violations_v3_fam,rank_v3_fam,v3_pooled,admissible_v3_pooled,violations_v3_pooled,rank_v3_pooled,true_eig_err,agg_koopman_gap,old_gap,admissible_old_gap,rank_old_gap,corrected_gap_lb,admissible_corrected_gap_lb,rank_corrected_gap_lb,corrected_gap_sb,admissible_corrected_gap_sb,rank_corrected_gap_sb,both_gaps,admissible_both_gaps,rank_both_gaps,corrected_gap_sb_pooled,admissible_corrected_gap_sb_pooled,rank_corrected_gap_sb_pooled
rbf,ho,damping=1.0,damping=1.0,rbf(gamma=6.277463727907437),Reduced Rank,-2.538580674360803,140.0,0.2676636333963669,9.797526181251698,0.0436653677609413,0.0273195119303239,,,0.0,2.0,0.0010091797853309,5.116596133347695e-05,0.0,-1.4914947309419813,3.000000000000042,-2.4897494530410125,True,,16,0.6029130069192404,True,,81,-3.1375437756600912,True,,15,-0.0582282583499214,True,,70,0.0126687794821654,0.0017935945865961557,-3.1375437756600912,True,15,-2.062927696267768,True,19,-3.227175712213503,True,15,-2.6002357359639294,True,15,-0.23862370481107928,True,70
rbf,ho,damping=1.0,damping=1.0,rbf(gamma=3.406710247932346),Reduced Rank,-2.5182001339297613,145.0,0.2728709027500876,9.80719027642456,0.0440069588407742,0.0278235554790896,,,0.0,2.0,0.0010279541150129,5.843629718882415e-05,0.0,-1.4439723006709408,2.9999999999909,-2.3666034410515198,True,,17,0.6098348706186134,True,,82,-2.800029666019447,True,,17,0.0970147190953644,True,,75,0.0126716610847479,0.0018156709364452776,-2.800029666019447,True,17,-1.728807425746031,True,21,-2.84362358883954,True,16,-2.2644185458827386,True,18,-0.08331651586778191,True,75
rbf,ho,damping=1.0,damping=1.0,rbf(gamma=19.147855373369506),Reduced Rank,-1.9417566887426008,179.0,0.8004881501598748,9.61293145196944,0.0535665092984829,0.0832720127215591,,,0.0,0.0,0.0003026562232376,8.682544182492258e-05,0.0,-1.47067354893559,3.000000000000353,-1.6505179284012257,True,,18,-1.1852331294552632,True,,40,-2.218590735833311,True,,19,-1.7813899045183588,True,,37,0.0132432767331179,0.0020856991074654036,-2.218590735833311,True,19,-2.2734067509494094,True,16,-2.7835942998450114,True,18,-2.2459987433913606,True,19,-1.9619087837390037,True,37
rbf,ho,damping=1.0,damping=1.0,rbf(gamma=6.801431710358582),Reduced Rank,-1.903169494192989,181.0,0.8191934061681562,9.621079529362753,0.0533552852771716,0.0851456849169622,,,0.0,0.0,0.00031404626897,8.784510875659013e-05,0.0,-1.494897945195068,3.000000000000093,-1.6058384394379717,True,,20,-1.181774651544488,True,,41,-2.2669969345994607,True,,18,-1.8535376069382927,True,,34,0.0132379805582642,0.0020909679825772682,-2.2669969345994607,True,18,-2.3147760779976494,True,15,-2.8131659220640346,True,17,-2.290886506298555,True,17,-2.034034120745558,True,34
rbf,ho,damping=1.0,damping=1.0,rbf(gamma=4.4629966204979485),Reduced Rank,-2.040360037831871,173.0,0.5168108498039811,9.68703454013588,0.0385457280192514,0.0533507801239585,,,0.0,2.0,0.0007127516059025,6.380026052155152e-05,0.0,-1.4694525582491458,2.9999999999995683,-1.6234852837931824,True,,19,0.6727594961905917,True,,84,-2.1842414631657325,True,,20,0.0804135257828242,True,,74,0.0129083427671551,0.0019328319177485695,-2.1842414631657325,True,20,-1.6021655024034194,True,22,-2.454642808421914,True,19,-1.893203482784576,True,22,-0.0999996418438371,True,74
rbf,ho,damping=1.0,damping=1.0,rbf(gamma=14.640372595199155),Reduced Rank,-2.366157042682399,157.0,0.1515343974822802,10.65128189687199,0.0411863627398636,0.0142268694932186,,,0.0,2.0,0.0021451185252088,1.5231628921363873e-05,0.0,-1.4898515335210467,3.000000000000333,-2.757181746471639,True,,14,0.5658782753246464,True,,80,-3.3995607498163927,True,,13,-0.0901344460093161,True,,69,0.011881552903383,0.0029780038302679498,-3.3995607498163927,True,13,-2.3608782276256437,True,14,-0.8730780630461967,True,24,-2.880219488721018,True,14,-0.26695378177751306,True,69
rbf,ho,damping=1.0,damping=1.0,rbf(gamma=23.649647464064167),Reduced Rank,-1.873226457224324,183.0,0.9362526557327764,9.34924463052262,0.065529288902465,0.1001420641702088,,,0.0,0.0,0.0003514287562865,0.0001095176474634,0.0,-1.4487577570956267,3.000000000000385,-1.3752115558109832,True,,21,-1.0987985758080645,True,,44,-1.8584004389072637,True,,21,-1.6265545002494026,True,,41,0.0132755498047552,0.0023470238347493354,-1.8584004389072635,True,21,-2.15039550668053,True,17,-2.075442597392037,True,20,-2.0043979727938965,True,20,-1.8064900432012818,True,41
rbf,ho,damping=1.0,damping=1.0,rbf(gamma=17.450545427352093),Reduced Rank,-1.756374755813311,189.0,0.9595564503341644,9.365506580858352,0.065994693396783,0.102456438639993,,,0.0,0.0,0.0003343922642515,0.0001141261563122,0.0,-1.47838945674721,3.000000000000488,-1.1995032285933152,True,,23,-1.089250369486098,True,,45,-1.7979423669471757,True,,22,-1.7094890787768338,True,,39,0.0132966467493596,0.002353329481159822,-1.7979423669471755,True,22,-2.1163454384159675,True,18,-2.0272733569078083,True,21,-1.9571439026815711,True,21,-1.8894291049223741,True,39
rbf,ho,damping=1.0,damping=1.0,rbf(gamma=12.554927455814873),Reduced Rank,-1.8080728396904229,187.0,0.5837352445942755,9.749442066419618,0.0411365664255655,0.0598737077073217,,,0.0,2.0,0.000818171815737,0.0001135235826041,0.0,-1.496598645630905,3.000000000000232,-0.76560011588731,True,,24,0.7198451255449522,True,,87,-1.4338112054625345,True,,23,0.0427741549392757,True,,72,0.0129429835294945,0.0020430423317434622,-1.4338112054625345,True,23,-0.8553968681179103,True,23,-1.4610985520516153,True,22,-1.1446040367902224,True,23,-0.13730653745202664,True,72
rbf,ho,damping=1.0,damping=1.0,rbf(gamma=102.12615028463873),Reduced Rank,-1.818893304904054,186.0,0.2821612827569527,10.70786430106747,0.0436846795173055,0.026350845959901,,,0.0,2.0,0.0020733741893412,3.0461899682254767e-05,0.0,-1.1313491172790844,3.0000000000010623,-1.2790828841800002,True,,22,0.7007125554981258,True,,86,-0.5335938012580764,True,,26,1.1636130999940677,True,,93,0.0119957768102456,0.003250889536059799,-0.5335938012580764,True,26,0.11809486349951026,True,27,2.2169220387201762,True,35,-0.20774946887928303,True,27,0.9872779057123972,True,92
rbf,ho,damping=1.0,damping=1.0,rbf(gamma=29.28074519039831),Reduced Rank,-1.5423151397549235,204.0,0.4588346300080831,10.33241014764625,0.0433163591106895,0.0444073186653945,,,0.0,2.0,0.0014616138385207,4.465851706314528e-05,0.0,-1.420325594145499,3.0000000000005342,-0.7341966609078066,True,,25,0.749908959172363,True,,89,-1.1076169408072496,True,,25,0.3108919744419233,True,,81,0.0124326691151033,0.002941036646554381,-1.1076169408072496,True,25,-0.8038064485295403,True,25,0.6012193263442168,True,28,-0.955711694668395,True,25,0.13330068000469053,True,80
rbf,ho,damping=1.0,damping=1.0,rbf(gamma=6.813420495864692),Reduced Rank,-1.7487260251727237,190.0,0.5986528896934584,9.767561358555412,0.0411874483296222,0.0612899031516293,,,0.0,2.0,0.0008285570967819,0.0001225595332731,0.0,-1.494964827117709,3.0000000000000213,-0.5987582845374804,True,,26,0.726631265001268,True,,88,-1.2599409206073424,True,,24,0.0546595660479367,True,,73,0.0129552628979325,0.0020627187163728172,-1.2599409206073424,True,24,-0.6917609821544057,True,26,-1.2534046512301529,True,23,-0.9758509513808742,True,24,-0.1253703638749184,True,73
rbf,ho,damping=1.0,damping=1.0,rbf(gamma=19.235746065297462),Reduced Rank,-0.8322335199142098,237.0,1.1600754212734152,9.491741567924729,0.0689253455463673,0.1222194486619439,,,0.0,0.0,0.000205894743759,0.0001550845036998,0.0,-1.4702627881288508,3.0000000000003992,0.1655694550143846,True,,27,-1.020327950319294,True,,49,-0.4010623754080642,True,,27,-1.6152027097113453,True,,43,0.0134094317202336,0.002316071690535924,-0.4010623754080642,True,27,-0.8236880874752053,True,24,-0.8180411027926822,True,25,-0.6123752314416347,True,26,-1.795349753120338,True,43
rbf,ho,damping=1.0,damping=1.0,rbf(gamma=204.25230056927745),Reduced Rank,-0.6976342953583171,242.0,0.6538178079646408,10.442068008586102,0.0468070849471064,0.0626138239501056,,,0.0,2.0,0.0013709750954874,6.152406717496728e-05,0.0,-0.9066179423497408,3.000000000000964,0.5703550690305478,True,,28,0.8493092102089982,True,,94,2.187671233643595,True,,37,2.0136128177862287,True,,103,0.0125604139242926,0.0032176659644570175,2.187671233643595,True,37,2.0788381885515808,True,37,4.103273414291548,True,38,2.133254711097588,True,37,1.8364940566784143,True,102
