system,kind,family,kernel,trial,sc,vamp2
langevin,all,rbf,rbf(gamma=1.75),0,-1.395957118431232,3.000000000000207
langevin,all,rbf,rbf(gamma=3.013),0,-1.4156848150486712,3.0000000000001137
langevin,all,rbf,rbf(gamma=1.596),0,-1.3889389979206124,3.0000000000003513
langevin,all,rbf,rbf(gamma=0.9668),0,-1.3371442361975179,3.000000000000093
langevin,all,rbf,rbf(gamma=1.934),0,-1.4024906474528658,3.000000000000246
langevin,all,rbf,rbf(gamma=1.707),0,-1.3941529165715196,3.0000000000002895
langevin,all,rbf,rbf(gamma=3.167),0,-1.415365530871326,3.000000000000183
langevin,all,rbf,rbf(gamma=1.59),0,-1.3886327251266626,3.000000000000212
langevin,all,rbf,rbf(gamma=0.8749),0,-1.3247402070165286,3.000000000000184
langevin,all,rbf,rbf(gamma=3.499),0,-1.413532686196301,3.0000000000002087
langevin,all,rbf,rbf(gamma=3.265),0,-1.4149758699653066,3.0000000000002207
langevin,all,rbf,rbf(gamma=3.372),0,-1.4144006514538119,3.000000000000287
langevin,all,rbf,rbf(gamma=3.193),0,-1.4152755787891533,3.0000000000003606
langevin,all,rbf,rbf(gamma=3.415),0,-1.4141283710052024,3.00000000000021
langevin,all,rbf,rbf(gamma=3.867),0,-1.4100501065588467,3.0000000000005644
langevin,all,rbf,rbf(gamma=3.181),0,-1.4153183285949238,3.0000000000003673
langevin,all,rbf,rbf(gamma=6.027),0,-1.3739385930102925,3.0000000000004454
langevin,all,rbf,rbf(gamma=6.743),0,-1.3594473940227616,3.000000000000396
langevin,all,rbf,rbf(gamma=6.531),0,-1.3637862085670494,3.0000000000003033
langevin,all,rbf,rbf(gamma=6.385),0,-1.3667540900238841,3.000000000000392
langevin,all,rbf,rbf(gamma=6.334),0,-1.367786234935025,3.000000000000374
langevin,all,rbf,rbf(gamma=6.361),0,-1.367240120755828,3.000000000000519
langevin,all,rbf,rbf(gamma=6.739),0,-1.359529532222483,3.0000000000002993
langevin,all,rbf,rbf(gamma=6.999),0,-1.35417318746258,3.00000000000032
langevin,all,rbf,rbf(gamma=6.829),0,-1.357679220929591,3.0000000000004197
langevin,all,rbf,rbf(gamma=7.734),0,-1.33892837788233,3.0000000000005036
langevin,all,linear,linear,0,-0.5261466732569472,1.0000000000000782
langevin,all,poly,poly(p=1),0,-1.3247229658043487,2.000000000000247
langevin,all,poly,poly(p=2),0,-1.3842791829566106,2.999999999999888
langevin,all,poly,poly(p=3),0,-0.5902494800885387,3.000000000000209
langevin,all,poly,poly(p=4),0,3.0586686190501426,3.0000000000005684
langevin,all,hermite,hermite(good),0,-1.0594544316178789,2.9999999999981526
langevin,all,hermite,hermite(bad),0,-1.6091214185705782,3.000000000000144
langevin,all,hermite,hermite(ugly),0,-0.25443773945415155,1.0000048752173896
langevin,all,rbf,rbf(gamma=0.3767),1,-1.2551766900588284,2.999999999999999
langevin,all,rbf,rbf(gamma=0.4268),1,-1.274630940160361,3.000000000000122
langevin,all,rbf,rbf(gamma=0.4082),1,-1.2676567377220853,3.0000000000001545
langevin,all,rbf,rbf(gamma=0.4214),1,-1.2726351095057478,2.999999999999858
langevin,all,rbf,rbf(gamma=0.8164),1,-1.3739589545828763,3.000000000000116
langevin,all,rbf,rbf(gamma=0.8429),1,-1.3784526658414726,3.0000000000001252
langevin,all,rbf,rbf(gamma=0.4834),1,-1.2942216769627355,2.999999999999855
langevin,all,rbf,rbf(gamma=0.4374),1,-1.2784817049439705,3.0000000000001
langevin,all,rbf,rbf(gamma=0.4212),1,-1.2725607407565585,3.00000000000024
langevin,all,rbf,rbf(gamma=0.3991),1,-1.2641400912464176,3.0000000000004245
langevin,all,rbf,rbf(gamma=0.7981),1,-1.3707329176104674,3.0000000000000036
langevin,all,rbf,rbf(gamma=0.7533),1,-1.3623829565064507,3.00000000000019
langevin,all,rbf,rbf(gamma=1.507),1,-1.445997504350537,3.0000000000001363
langevin,all,rbf,rbf(gamma=1.685),1,-1.455107656282436,3.000000000000605
langevin,all,rbf,rbf(gamma=1.633),1,-1.4526965681948574,3.0000000000003606
langevin,all,rbf,rbf(gamma=1.583),1,-1.45019035455041,3.0000000000002185
langevin,all,rbf,rbf(gamma=0.7917),1,-1.3695801067231956,3.000000000000239
langevin,all,rbf,rbf(gamma=3.37),1,-1.4748576161458937,3.0000000000004774
langevin,all,rbf,rbf(gamma=1.686),1,-1.455152161436308,3.000000000000238
langevin,all,rbf,rbf(gamma=0.3959),1,-1.2628866576531728,3.000000000000144
langevin,all,rbf,rbf(gamma=0.7952),1,-1.3702121529784228,3.0000000000000533
langevin,all,rbf,rbf(gamma=0.8424),1,-1.3783697651184423,3.000000000000081
langevin,all,rbf,rbf(gamma=0.8537),1,-1.3802260806732278,2.9999999999999636
langevin,all,rbf,rbf(gamma=0.3976),1,-1.2635536444737359,3.000000000000009
langevin,all,rbf,rbf(gamma=1.75),1,-1.4578618165126214,3.0000000000006293
langevin,all,rbf,rbf(gamma=3.013),1,-1.4764127498723194,3.0000000000006493
