system,kind,family,kernel,trial,sc,vamp2
langevin,all,rbf,rbf(gamma=1.596),1,-1.4508604261029165,3.0000000000001448
langevin,all,rbf,rbf(gamma=0.9668),1,-1.3969796015164782,3.0000000000000675
langevin,all,rbf,rbf(gamma=1.934),1,-1.4642841263526327,3.0000000000002047
langevin,all,rbf,rbf(gamma=1.707),1,-1.4560710739359284,3.0000000000003415
langevin,all,rbf,rbf(gamma=3.167),1,-1.4759644276827784,3.0000000000004152
langevin,all,rbf,rbf(gamma=1.59),1,-1.4505528063843627,3.0000000000001337
langevin,all,rbf,rbf(gamma=0.8749),1,-1.3836135616507628,3.0000000000001483
langevin,all,rbf,rbf(gamma=3.499),1,-1.4738887458471535,3.0000000000003815
langevin,all,rbf,rbf(gamma=3.265),1,-1.4754981587624123,3.0000000000002607
langevin,all,rbf,rbf(gamma=3.372),1,-1.4748440800252602,3.00000000000031
langevin,all,rbf,rbf(gamma=3.193),1,-1.475853736523697,3.0000000000002967
langevin,all,rbf,rbf(gamma=3.415),1,-1.474541476722269,3.0000000000005542
langevin,all,rbf,rbf(gamma=3.867),1,-1.4701873466268585,3.000000000000455
langevin,all,rbf,rbf(gamma=3.181),1,-1.4759060208156243,3.0000000000008566
langevin,all,rbf,rbf(gamma=6.027),1,-1.4332585988381101,3.000000000000515
langevin,all,rbf,rbf(gamma=6.743),1,-1.4184877782319758,3.0000000000002314
langevin,all,rbf,rbf(gamma=6.531),1,-1.4229144232348077,3.0000000000005094
langevin,all,rbf,rbf(gamma=6.385),1,-1.4259401750555694,3.000000000000678
langevin,all,rbf,rbf(gamma=6.334),1,-1.4269920624547499,3.0000000000003757
langevin,all,rbf,rbf(gamma=6.361),1,-1.4264355259322816,3.0000000000004405
langevin,all,rbf,rbf(gamma=6.739),1,-1.4185716171872103,3.0000000000006217
langevin,all,rbf,rbf(gamma=6.999),1,-1.4131010715701868,3.0000000000004317
langevin,all,rbf,rbf(gamma=6.829),1,-1.4166826205077994,3.00000000000046
langevin,all,rbf,rbf(gamma=7.734),1,-1.3974908977021752,3.0000000000005436
langevin,all,linear,linear,1,-0.4657916837777899,1.000000000000095
langevin,all,poly,poly(p=1),1,-1.4562967267424234,2.0000000000000657
langevin,all,poly,poly(p=2),1,-1.8156633082149556,3.000000000000097
langevin,all,poly,poly(p=3),1,-1.9498928996642784,3.000000000000136
langevin,all,poly,poly(p=4),1,-1.2445500661049662,3.0000000000004188
langevin,all,hermite,hermite(good),1,-1.0739787816251758,2.9999999999899476
langevin,all,hermite,hermite(bad),1,-1.7229711426386716,3.0000000000002465
langevin,all,hermite,hermite(ugly),1,-0.2851124328118271,1.0000047424569438
langevin,all,rbf,rbf(gamma=0.3767),2,-1.2629039713070298,3.000000000000001
langevin,all,rbf,rbf(gamma=0.4268),2,-1.2830394502783524,3.0000000000000036
langevin,all,rbf,rbf(gamma=0.4082),2,-1.2758175587606209,2.999999999999856
langevin,all,rbf,rbf(gamma=0.4214),2,-1.2809723195137237,2.9999999999998854
langevin,all,rbf,rbf(gamma=0.8164),2,-1.3865132612426603,3.000000000000236
langevin,all,rbf,rbf(gamma=0.8429),2,-1.3912331896175893,3.0000000000001736
langevin,all,rbf,rbf(gamma=0.4834),2,-1.303349353000844,2.9999999999998774
langevin,all,rbf,rbf(gamma=0.4374),2,-1.2870287607881659,3.0000000000000204
langevin,all,rbf,rbf(gamma=0.4212),2,-1.280895300551329,2.9999999999998987
langevin,all,rbf,rbf(gamma=0.3991),2,-1.272177531298976,3.0000000000000107
langevin,all,rbf,rbf(gamma=0.7981),2,-1.383127623850147,3.0000000000000506
langevin,all,rbf,rbf(gamma=0.7533),2,-1.3743747743029346,3.000000000000047
langevin,all,rbf,rbf(gamma=1.507),2,-1.4630414953692024,3.0000000000004294
langevin,all,rbf,rbf(gamma=1.685),2,-1.4729756697824232,3.000000000000319
langevin,all,rbf,rbf(gamma=1.633),2,-1.470333706625817,3.0000000000001905
langevin,all,rbf,rbf(gamma=1.583),2,-1.4675980546432126,3.0000000000003424
langevin,all,rbf,rbf(gamma=0.7917),2,-1.3819183282403777,3.0000000000002864
langevin,all,rbf,rbf(gamma=3.37),2,-1.497625683579219,3.0000000000007123
langevin,all,rbf,rbf(gamma=1.686),2,-1.4730245404428315,3.0000000000004152
langevin,all,rbf,rbf(gamma=0.3959),2,-1.2708803576514809,3.0000000000004023
langevin,all,rbf,rbf(gamma=0.7952),2,-1.382581307915166,3.0000000000002007
langevin,all,rbf,rbf(gamma=0.8424),2,-1.3911460731749026,3.0000000000000577
langevin,all,rbf,rbf(gamma=0.8537),2,-1.3930971794171454,3.000000000000197
langevin,all,rbf,rbf(gamma=0.3976),2,-1.2715706044949289,3.000000000000353
langevin,all,rbf,rbf(gamma=1.75),2,-1.476007995191734,3.000000000000228
langevin,all,rbf,rbf(gamma=3.013),2,-1.4984301453665032,3.000000000000571
langevin,all,rbf,rbf(gamma=1.596),2,-1.468328506098741,3.0000000000003406
langevin,all,rbf,rbf(gamma=0.9668),2,-1.4107466427097477,3.0000000000006453
langevin,all,rbf,rbf(gamma=1.934),2,-1.4831612806670922,3.000000000000302
