system,kind,family,kernel,sc,vamp2,kind_n,kind_u,agg_bias_mean,agg_dist_mean,mean_spurious_residual_count,score_unified,kind_t,true_eig_err
duffing,omega=0.5,rbf,rbf(gamma=0.42253546860264124),-1.0548860765742447,3.000000000000252,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.4282763281683721),-1.055594520800774,3.0000000000002256,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.43343093973668906),-1.0562298042631293,3.0000000000003157,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.43361315287131097),-1.056252247134708,3.0000000000003375,omega=0.5,omega=0.5,0.1154917575958731,11.127173634157264,4.0,-2.675069936465796,,
duffing,omega=0.5,rbf,rbf(gamma=0.4384299088141175),-1.056845169590823,3.0000000000003673,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.43872707860404364),-1.0568817279362028,3.000000000000369,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.44315510035519556),-1.0574261681452342,3.00000000000029,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.4607544921075932),-1.0595844757191426,3.0000000000002984,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.4608646759947346),-1.0595979600476475,3.0000000000003246,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.47613903051663964),-1.0614638645473706,3.000000000000368,omega=0.5,omega=0.5,0.1247866306395616,10.023762550687708,4.0,-2.9162215755563032,,
duffing,omega=0.5,rbf,rbf(gamma=0.47776576027800655),-1.0616621905777035,3.0000000000004285,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.4819544707219326),-1.062172517145743,3.00000000000035,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.48855489394688945),-1.0629756543259214,3.0000000000003233,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.5053174405626577),-1.0650097343152214,3.0000000000003904,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.5091025541070499),-1.0654679400243328,3.000000000000332,omega=0.5,omega=0.5,0.1150472311411497,11.039036674489305,4.0,-3.135817264846614,,
duffing,omega=0.5,rbf,rbf(gamma=0.5172457127233674),-1.0664523308279172,3.000000000000327,omega=0.5,omega=0.5,0.116265101827924,11.14188033814628,4.0,-2.704224273447386,,
duffing,omega=0.5,rbf,rbf(gamma=0.5248674161998298),-1.067371985520227,3.0000000000002487,omega=0.5,omega=0.5,0.1201055761313409,11.119239863526644,4.0,-3.0316943374135663,,
duffing,omega=0.5,rbf,rbf(gamma=0.5280804015419744),-1.067759181217911,3.0000000000002203,omega=0.5,omega=0.5,0.1201101711534649,11.132803742850747,4.0,-2.821705420557128,,
duffing,omega=0.5,rbf,rbf(gamma=0.5299918816931555),-1.0679893948644623,3.0000000000004423,omega=0.5,omega=0.5,0.1192093398345993,11.145430043839688,4.0,-3.034796924336491,,
duffing,omega=0.5,rbf,rbf(gamma=0.5322788041455077),-1.0682646904946418,3.000000000000279,omega=0.5,omega=0.5,0.1149376798777667,11.138171490075711,4.0,-2.350418814472458,,
duffing,omega=0.5,rbf,rbf(gamma=0.5415719103032706),-1.0693818634993468,3.000000000000235,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.5597506872261928),-1.0715602217408813,3.000000000000304,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.5615673708957537),-1.0717774062106011,3.0000000000003,omega=0.5,omega=0.5,0.1578578376870755,10.113425291652849,2.0,-6.022106694560431,,
duffing,omega=0.5,rbf,rbf(gamma=0.565875542967564),-1.0722920796944877,3.0000000000003397,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.5812405666926264),-1.0741234433648408,3.0000000000004152,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.586942484340642),-1.0748013881896472,3.0000000000003872,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.5889759566704682),-1.0750429452685826,3.0000000000003033,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.6002553068711807),-1.0763807462845802,3.000000000000421,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.6034676736661907),-1.0767611097619605,3.000000000000411,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.6035017757918503),-1.0767651461305283,3.000000000000261,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.6050352672118346),-1.076946618867176,3.0000000000002944,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.6051477672318518),-1.0769599295195549,3.0000000000002736,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.6287739802913623),-1.0797475954459628,3.000000000000362,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.6381673519050943),-1.0808516706307232,3.0000000000002784,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.6422357552191269),-1.0813291131953788,3.0000000000003513,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.643601955739302),-1.0814893407303328,3.000000000000479,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.6602766861795265),-1.083440852760585,3.000000000000329,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.6613993804831261),-1.0835719748091306,3.0000000000004,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.6615901670369879),-1.0835942538106624,3.000000000000353,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.6897202589199395),-1.0868683568678532,3.000000000000421,omega=0.5,,,,,,,
duffing,omega=0.5,rbf,rbf(gamma=0.6955721424536491),-1.0875467858589425,3.0000000000003477,omega=0.5,,,,,,,
