system,kind,family,kernel,sc,vamp2
duffing,omega=0.5,rbf,rbf(gamma=0.47776576027800655),-1.0616621905777037,3.0000000000004285
duffing,omega=0.5,rbf,rbf(gamma=0.4819544707219326),-1.062172517145743,3.00000000000035
duffing,omega=0.5,rbf,rbf(gamma=0.48855489394688945),-1.0629756543259214,3.0000000000003233
duffing,omega=0.5,rbf,rbf(gamma=0.5053174405626577),-1.0650097343152214,3.0000000000003904
duffing,omega=0.5,rbf,rbf(gamma=0.5091025541070499),-1.0654679400243328,3.000000000000332
duffing,omega=0.5,rbf,rbf(gamma=0.5172457127233674),-1.0664523308279172,3.000000000000327
duffing,omega=0.5,rbf,rbf(gamma=0.5248674161998298),-1.067371985520227,3.0000000000002487
duffing,omega=0.5,rbf,rbf(gamma=0.5280804015419744),-1.067759181217911,3.0000000000002203
duffing,omega=0.5,rbf,rbf(gamma=0.5299918816931555),-1.0679893948644625,3.0000000000004423
duffing,omega=0.5,rbf,rbf(gamma=0.5322788041455077),-1.0682646904946418,3.000000000000279
duffing,omega=0.5,rbf,rbf(gamma=0.5415719103032706),-1.0693818634993468,3.000000000000235
duffing,omega=0.5,rbf,rbf(gamma=0.5597506872261928),-1.0715602217408813,3.000000000000304
duffing,omega=0.5,rbf,rbf(gamma=0.5615673708957537),-1.0717774062106011,3.0000000000003
duffing,omega=0.5,rbf,rbf(gamma=0.565875542967564),-1.0722920796944875,3.0000000000003397
duffing,omega=0.5,rbf,rbf(gamma=0.5812405666926264),-1.0741234433648408,3.0000000000004152
duffing,omega=0.5,rbf,rbf(gamma=0.586942484340642),-1.0748013881896472,3.0000000000003872
duffing,omega=0.5,rbf,rbf(gamma=0.5889759566704682),-1.0750429452685826,3.0000000000003033
duffing,omega=0.5,rbf,rbf(gamma=0.6002553068711807),-1.0763807462845802,3.000000000000421
duffing,omega=0.5,rbf,rbf(gamma=0.6034676736661907),-1.0767611097619605,3.000000000000411
duffing,omega=0.5,rbf,rbf(gamma=0.6035017757918503),-1.0767651461305283,3.000000000000261
duffing,omega=0.5,rbf,rbf(gamma=0.6050352672118346),-1.076946618867176,3.0000000000002944
duffing,omega=0.5,rbf,rbf(gamma=0.6051477672318518),-1.0769599295195549,3.0000000000002736
duffing,omega=0.5,rbf,rbf(gamma=0.6287739802913623),-1.0797475954459628,3.000000000000362
duffing,omega=0.5,rbf,rbf(gamma=0.6381673519050943),-1.0808516706307232,3.0000000000002784
duffing,omega=0.5,rbf,rbf(gamma=0.6422357552191269),-1.0813291131953788,3.0000000000003513
duffing,omega=0.5,rbf,rbf(gamma=0.643601955739302),-1.0814893407303328,3.000000000000479
duffing,omega=0.5,rbf,rbf(gamma=0.6602766861795265),-1.083440852760585,3.000000000000329
duffing,omega=0.5,rbf,rbf(gamma=0.6613993804831261),-1.0835719748091306,3.0000000000004
duffing,omega=0.5,rbf,rbf(gamma=0.6615901670369879),-1.0835942538106624,3.000000000000353
duffing,omega=0.5,rbf,rbf(gamma=0.6897202589199395),-1.0868683568678532,3.0000000000004206
duffing,omega=0.5,rbf,rbf(gamma=0.6955721424536491),-1.0875467858589423,3.0000000000003477
duffing,omega=0.5,rbf,rbf(gamma=0.7081432905392367),-1.0890010946822548,3.0000000000004596
duffing,omega=0.5,rbf,rbf(gamma=0.7149617086950467),-1.0897881222007413,3.0000000000004583
duffing,omega=0.5,rbf,rbf(gamma=0.7233822873163714),-1.090758368821401,3.000000000000419
duffing,omega=0.5,rbf,rbf(gamma=0.7333457676213548),-1.0919039544093867,3.0000000000004055
duffing,omega=0.5,rbf,rbf(gamma=0.7423910485931123),-1.0929416832606644,3.0000000000004
duffing,omega=0.5,rbf,rbf(gamma=0.7457491634872105),-1.093326394331161,3.000000000000379
duffing,omega=0.5,rbf,rbf(gamma=0.7494005398305926),-1.0937443632425827,3.0000000000004703
duffing,omega=0.5,rbf,rbf(gamma=0.7509994400159213),-1.0939272765484727,3.0000000000003872
duffing,omega=0.5,rbf,rbf(gamma=0.7544242740920327),-1.094318848409132,3.0000000000004365
duffing,omega=0.5,rbf,rbf(gamma=0.7580923746980914),-1.0947378902822609,3.000000000000277
duffing,omega=0.5,rbf,rbf(gamma=0.7825821306794024),-1.0975265131817313,3.000000000000421
duffing,omega=0.5,rbf,rbf(gamma=0.8168403183514585),-1.1014011334922829,3.0000000000004436
duffing,omega=0.5,rbf,rbf(gamma=0.8345853768904926),-1.1033961287437888,3.0000000000004494
duffing,omega=0.5,rbf,rbf(gamma=0.8450709372052825),-1.1045711519543981,3.0000000000004743
duffing,omega=0.5,rbf,rbf(gamma=0.8565526563367442),-1.1058545633040524,3.0000000000005174
duffing,omega=0.5,rbf,rbf(gamma=0.8668618794733781),-1.1070040355709498,3.0000000000005707
duffing,omega=0.5,rbf,rbf(gamma=0.8672263057426219),-1.1070446191399466,3.0000000000005485
duffing,omega=0.5,rbf,rbf(gamma=0.876859817628235),-1.1081162057202174,3.0000000000005276
duffing,omega=0.5,rbf,rbf(gamma=0.8774541572080873),-1.1081822397538321,3.0000000000005564
duffing,omega=0.5,rbf,rbf(gamma=0.8863102007103911),-1.1091651243289533,3.000000000000527
duffing,omega=0.5,rbf,rbf(gamma=0.8961990358076725),-1.1102602781205864,3.000000000000618
duffing,omega=0.5,rbf,rbf(gamma=0.9215089842151865),-1.1130519967760473,3.0000000000005205
duffing,omega=0.5,rbf,rbf(gamma=0.9217293519894691),-1.113076232688708,3.000000000000675
duffing,omega=0.5,rbf,rbf(gamma=0.9522780610332793),-1.1164241749517716,3.000000000000506
duffing,omega=0.5,rbf,rbf(gamma=0.9555315205560131),-1.1167793587579566,3.0000000000003983
duffing,omega=0.5,rbf,rbf(gamma=0.9639089414438652),-1.1176927182994951,3.000000000000298
duffing,omega=0.5,rbf,rbf(gamma=0.9728904934744245),-1.1186700071860398,3.0000000000003073
duffing,omega=0.5,rbf,rbf(gamma=0.9771097878937789),-1.1191284210251657,3.000000000000425
duffing,omega=0.5,rbf,rbf(gamma=1.0106348811253154),-1.1227552058896324,3.0000000000003753
duffing,omega=0.5,rbf,rbf(gamma=1.0182051082140997),-1.123570339215278,3.0000000000003495
duffing,omega=0.5,rbf,rbf(gamma=1.0344914254467348),-1.1253192397357348,3.000000000000417
duffing,omega=0.5,rbf,rbf(gamma=1.0497348323996596),-1.1269502959248312,3.000000000000424
duffing,omega=0.5,rbf,rbf(gamma=1.0561608030839489),-1.1276361904463654,3.0000000000003957
duffing,omega=0.5,rbf,rbf(gamma=1.059983763386311),-1.1280437709799427,3.0000000000003357
duffing,omega=0.5,rbf,rbf(gamma=1.0645576082910153),-1.1285309420943201,3.000000000000339
duffing,omega=0.5,rbf,rbf(gamma=1.0711492864916123),-1.1292321492832864,3.0000000000004943
duffing,omega=0.5,rbf,rbf(gamma=1.0831438206065411),-1.1305054152670495,3.0000000000004454
duffing,omega=0.5,rbf,rbf(gamma=1.0982608774181066),-1.1321052300303844,3.00000000000038
duffing,omega=0.5,rbf,rbf(gamma=1.1195013744523856),-1.1343438530014116,3.000000000000274
duffing,omega=0.5,rbf,rbf(gamma=1.1231347417915074),-1.1347257128650032,3.000000000000361
duffing,omega=0.5,rbf,rbf(gamma=1.131751085935128),-1.1356300217671123,3.000000000000339
