kernel,kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
hermite(ugly),omega=0.8,Reduced Rank,5,,0,5.016142511588559,5
hermite(good),omega=0.8,Reduced Rank,6,,2,1.7074063960674388,5
hermite(bad),omega=0.8,Reduced Rank,6,,5,0.011775179840162187,5
hermite(ugly),omega=0.8,Reduced Rank,6,,0,4.569916017825622,5
hermite(good),omega=0.8,Reduced Rank,7,,3,0.9120587401641025,4
hermite(bad),omega=0.8,Reduced Rank,7,,5,0.38793361203636434,5
hermite(ugly),omega=0.8,Reduced Rank,7,,0,4.957518189066435,5
hermite(good),omega=0.8,Reduced Rank,8,,4,1.1957938484327395,5
hermite(bad),omega=0.8,Reduced Rank,8,,2,5.178918308168523e-05,5
hermite(ugly),omega=0.8,Reduced Rank,8,,1,3.942127639971886,5
hermite(good),omega=0.8,Reduced Rank,9,,2,2.5383560079560974,5
hermite(bad),omega=0.8,Reduced Rank,9,,2,8.482395791775676e-05,5
hermite(ugly),omega=0.8,Reduced Rank,9,,1,4.868412830618069,5
hermite(good),omega=1.0,Principal Components (kDMD),0,,3,1.3173638860886072e-05,5
hermite(bad),omega=1.0,Principal Components (kDMD),0,,3,0.0,5
hermite(ugly),omega=1.0,Principal Components (kDMD),0,,1,,1
hermite(good),omega=1.0,Principal Components (kDMD),1,,0,0.00024061658282736875,5
hermite(bad),omega=1.0,Principal Components (kDMD),1,,1,0.00018170506091608196,5
hermite(ugly),omega=1.0,Principal Components (kDMD),1,,1,,1
hermite(good),omega=1.0,Principal Components (kDMD),2,,3,5.2728274142599396e-05,5
hermite(bad),omega=1.0,Principal Components (kDMD),2,,3,5.5371941615867115e-05,5
hermite(ugly),omega=1.0,Principal Components (kDMD),2,,1,,1
hermite(good),omega=1.0,Principal Components (kDMD),3,,3,9.729310576589434e-05,5
hermite(bad),omega=1.0,Principal Components (kDMD),3,,4,0.0001085339342095093,5
hermite(ugly),omega=1.0,Principal Components (kDMD),3,,1,,1
hermite(good),omega=1.0,Principal Components (kDMD),4,,3,8.707363393112288e-05,5
hermite(bad),omega=1.0,Principal Components (kDMD),4,,3,4.290616093627353e-05,5
hermite(ugly),omega=1.0,Principal Components (kDMD),4,,1,,1
hermite(good),omega=1.0,Principal Components (kDMD),5,,3,0.0005529921994664733,5
hermite(bad),omega=1.0,Principal Components (kDMD),5,,3,0.0005517731870416931,5
hermite(ugly),omega=1.0,Principal Components (kDMD),5,,1,,1
hermite(good),omega=1.0,Principal Components (kDMD),6,,3,1.4171974135224197e-05,5
hermite(bad),omega=1.0,Principal Components (kDMD),6,,3,1.1510533971192949e-05,5
hermite(ugly),omega=1.0,Principal Components (kDMD),6,,1,,1
hermite(good),omega=1.0,Principal Components (kDMD),7,,3,0.00010261692117607968,5
hermite(bad),omega=1.0,Principal Components (kDMD),7,,3,0.00010261866632155225,5
hermite(ugly),omega=1.0,Principal Components (kDMD),7,,1,,1
hermite(good),omega=1.0,Principal Components (kDMD),8,,4,9.102231024893381e-05,5
hermite(bad),omega=1.0,Principal Components (kDMD),8,,4,9.100918624793675e-05,5
hermite(ugly),omega=1.0,Principal Components (kDMD),8,,1,,1
hermite(good),omega=1.0,Principal Components (kDMD),9,,4,0.00015000258479402895,5
hermite(bad),omega=1.0,Principal Components (kDMD),9,,4,0.00012267978442703775,5
hermite(ugly),omega=1.0,Principal Components (kDMD),9,,1,,1
hermite(good),omega=1.0,Reduced Rank,0,,3,0.7149879312726153,5
hermite(bad),omega=1.0,Reduced Rank,0,,0,0.0,5
hermite(ugly),omega=1.0,Reduced Rank,0,,1,4.884115836542997,5
hermite(good),omega=1.0,Reduced Rank,1,,4,0.9980413136083728,5
hermite(bad),omega=1.0,Reduced Rank,1,,1,0.00019968379036461315,5
hermite(ugly),omega=1.0,Reduced Rank,1,,4,5.032952268441536,5
hermite(good),omega=1.0,Reduced Rank,2,,4,0.9791566732760839,5
hermite(bad),omega=1.0,Reduced Rank,2,,1,0.00010929812023341423,5
hermite(ugly),omega=1.0,Reduced Rank,2,,2,5.137851622758339,5
hermite(good),omega=1.0,Reduced Rank,3,,4,1.2106705035482912,5
hermite(bad),omega=1.0,Reduced Rank,3,,0,0.00010998675897799792,5
hermite(ugly),omega=1.0,Reduced Rank,3,,3,4.974302576049042,5
hermite(good),omega=1.0,Reduced Rank,4,,4,0.7321540824891868,5
hermite(bad),omega=1.0,Reduced Rank,4,,0,0.00013581581884414273,5
