kernel,kind,omega,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
rbf(gamma=0.28580800163757103),omega=0.5,0.5,Reduced Rank,0,,5,0.007595194472933331,5
rbf(gamma=0.5716160032751421),omega=0.5,0.5,Reduced Rank,0,,5,0.007039763821589884,5
rbf(gamma=0.06204132226613671),omega=0.5,0.5,Reduced Rank,1,,5,0.013522587734384528,5
rbf(gamma=0.12408264453227343),omega=0.5,0.5,Reduced Rank,1,,5,0.013375244153963517,5
rbf(gamma=0.24816528906454685),omega=0.5,0.5,Reduced Rank,1,,5,0.013627253442051512,5
rbf(gamma=0.4963305781290937),omega=0.5,0.5,Reduced Rank,1,,5,0.014149032303010123,5
rbf(gamma=0.9926611562581874),omega=0.5,0.5,Reduced Rank,1,,5,0.015203425049221675,5
rbf(gamma=0.057922391345933646),omega=0.5,0.5,Reduced Rank,2,,5,0.012775085784970885,5
rbf(gamma=0.11584478269186729),omega=0.5,0.5,Reduced Rank,2,,5,0.012417094272269336,5
rbf(gamma=0.23168956538373459),omega=0.5,0.5,Reduced Rank,2,,5,0.012330491918652875,5
rbf(gamma=0.46337913076746917),omega=0.5,0.5,Reduced Rank,2,,5,0.013119550945806635,5
rbf(gamma=0.9267582615349383),omega=0.5,0.5,Reduced Rank,2,,5,0.015139476060590296,5
rbf(gamma=0.05179532109810483),omega=0.5,0.5,Reduced Rank,3,,5,0.0106659314427352,5
rbf(gamma=0.10359064219620966),omega=0.5,0.5,Reduced Rank,3,,5,0.01010448885697579,5
rbf(gamma=0.2071812843924193),omega=0.5,0.5,Reduced Rank,3,,5,0.009592994688991108,5
rbf(gamma=0.4143625687848386),omega=0.5,0.5,Reduced Rank,3,,5,0.009580971255041315,5
rbf(gamma=0.8287251375696773),omega=0.5,0.5,Reduced Rank,3,,5,0.01024150148445746,5
rbf(gamma=0.04991329869862887),omega=0.5,0.5,Reduced Rank,4,,4,0.009587426144699762,5
rbf(gamma=0.09982659739725774),omega=0.5,0.5,Reduced Rank,4,,5,0.009437494291981152,5
rbf(gamma=0.1996531947945155),omega=0.5,0.5,Reduced Rank,4,,5,0.009647885388578192,5
rbf(gamma=0.399306389589031),omega=0.5,0.5,Reduced Rank,4,,5,0.010616721169722898,5
rbf(gamma=0.798612779178062),omega=0.5,0.5,Reduced Rank,4,,5,0.008341887356102529,5
rbf(gamma=0.03252338545705879),omega=0.5,0.5,Reduced Rank,5,,4,0.0067239481875353,5
rbf(gamma=0.06504677091411758),omega=0.5,0.5,Reduced Rank,5,,5,0.006525566023028784,5
rbf(gamma=0.13009354182823515),omega=0.5,0.5,Reduced Rank,5,,5,0.006583797026100235,5
rbf(gamma=0.2601870836564703),omega=0.5,0.5,Reduced Rank,5,,5,0.005549991165399892,5
rbf(gamma=0.5203741673129406),omega=0.5,0.5,Reduced Rank,5,,5,0.0054108119878231165,5
rbf(gamma=0.03698414526286625),omega=0.5,0.5,Reduced Rank,6,,4,0.008446246705705152,5
rbf(gamma=0.0739682905257325),omega=0.5,0.5,Reduced Rank,6,,5,0.007892296016944966,5
rbf(gamma=0.147936581051465),omega=0.5,0.5,Reduced Rank,6,,5,0.007224336906785811,5
rbf(gamma=0.29587316210293),omega=0.5,0.5,Reduced Rank,6,,5,0.00678115593318962,5
rbf(gamma=0.59174632420586),omega=0.5,0.5,Reduced Rank,6,,5,0.006935519863075945,5
rbf(gamma=0.03683909825494282),omega=0.5,0.5,Reduced Rank,7,,4,0.004981192058695849,5
rbf(gamma=0.07367819650988564),omega=0.5,0.5,Reduced Rank,7,,5,0.004361638704861837,5
rbf(gamma=0.14735639301977127),omega=0.5,0.5,Reduced Rank,7,,5,0.003705008698267731,5
rbf(gamma=0.29471278603954254),omega=0.5,0.5,Reduced Rank,7,,5,0.003216492395351489,5
rbf(gamma=0.5894255720790851),omega=0.5,0.5,Reduced Rank,7,,5,0.002747493635830378,5
rbf(gamma=0.054438931578359245),omega=0.5,0.5,Reduced Rank,8,,5,0.012291341637609698,5
rbf(gamma=0.10887786315671849),omega=0.5,0.5,Reduced Rank,8,,5,0.011803098824836322,5
rbf(gamma=0.21775572631343698),omega=0.5,0.5,Reduced Rank,8,,5,0.011405499908878847,5
rbf(gamma=0.43551145262687396),omega=0.5,0.5,Reduced Rank,8,,5,0.011522822489248852,5
rbf(gamma=0.8710229052537479),omega=0.5,0.5,Reduced Rank,8,,5,0.012445342117231806,5
rbf(gamma=0.04539207669521673),omega=0.5,0.5,Reduced Rank,9,,5,0.011243442115191904,5
rbf(gamma=0.09078415339043346),omega=0.5,0.5,Reduced Rank,9,,5,0.010613580204484663,5
rbf(gamma=0.1815683067808669),omega=0.5,0.5,Reduced Rank,9,,5,0.00978904390303681,5
rbf(gamma=0.3631366135617338),omega=0.5,0.5,Reduced Rank,9,,5,0.009507770228788348,5
rbf(gamma=0.7262732271234676),omega=0.5,0.5,Reduced Rank,9,,5,0.009690455458799319,5
rbf(gamma=0.050786350523342905),omega=1.0,1.0,Principal Components (kDMD),0,,5,0.010757739342705408,5
rbf(gamma=0.10157270104668581),omega=1.0,1.0,Principal Components (kDMD),0,,5,0.01013482257190157,5
rbf(gamma=0.20314540209337162),omega=1.0,1.0,Principal Components (kDMD),0,,5,0.0094348098244601,5
rbf(gamma=0.40629080418674324),omega=1.0,1.0,Principal Components (kDMD),0,,5,0.009141768563927677,5
rbf(gamma=0.8125816083734865),omega=1.0,1.0,Principal Components (kDMD),0,,5,0.00997848760315434,5
rbf(gamma=0.03993891032482812),omega=1.0,1.0,Principal Components (kDMD),1,,5,0.009846389989760063,5
rbf(gamma=0.07987782064965623),omega=1.0,1.0,Principal Components (kDMD),1,,5,0.009183478943574075,5
rbf(gamma=0.15975564129931247),omega=1.0,1.0,Principal Components (kDMD),1,,5,0.00847028440512343,5
rbf(gamma=0.31951128259862493),omega=1.0,1.0,Principal Components (kDMD),1,,5,0.008170537358452856,5
rbf(gamma=0.6390225651972499),omega=1.0,1.0,Principal Components (kDMD),1,,5,0.008436038956317615,5
