kernel,kind,method,trial,eigenfunction_id,spectral_bias,metric_distortion,truncation,residual_spurious_score,spectral_gap,est_eig_real,est_eig_imag,gap
hermite(bad),r=4.0,Principal Components (kDMD),3,2,2.5119783023680834e-06,108.20798443026051,2.3214352578455434e-08,0.9981609181181892,0.9631673353651071,0.03683261253343907,0.0,0.9631673353651071
hermite(bad),r=4.0,Principal Components (kDMD),3,3,1.002271854979456e-06,43.17466324301611,2.3214352578455434e-08,0.9996910746903843,0.9631673353651071,-0.0023788093689446153,0.035188157318417256,0.9631673353651071
hermite(bad),r=4.0,Principal Components (kDMD),3,4,1.002271854979456e-06,43.17466324301611,2.3214352578455434e-08,0.9996910746903843,0.9631673353651071,-0.0023788093689446153,-0.035188157318417256,0.9631673353651071
hermite(bad),r=4.0,Principal Components (kDMD),3,5,1.695003466690607e-06,73.01532364351571,2.3214352578455434e-08,0.999059984812765,0.9631673353651071,0.0066872098830753225,0.0,0.9631673353651071
hermite(ugly),r=4.0,Principal Components (kDMD),3,1,0.0,11.726009749609213,0.0,0.8718626121866385,,0.6588801242412595,0.0,
hermite(good),r=4.0,Principal Components (kDMD),4,1,0.0,6.686535384464416,0.0,7.498542105330397e-05,0.9579721529892846,1.0000000000028995,0.0,0.9579721529892846
hermite(good),r=4.0,Principal Components (kDMD),4,2,0.0,731.3693986481471,0.0,1.0017583645507733,0.9579721529892846,0.04202784701361478,0.0,0.9579721529892846
hermite(good),r=4.0,Principal Components (kDMD),4,3,0.0,1205.607460979158,0.0,0.9986120552575468,0.9579721529892846,-0.041990087727574385,0.0,0.9579721529892846
hermite(good),r=4.0,Principal Components (kDMD),4,4,0.0,209.73374256057912,0.0,0.9992262667051546,0.9579721529892846,-0.01076542889285991,0.0,0.9579721529892846
hermite(good),r=4.0,Principal Components (kDMD),4,5,0.0,120.13623176486851,0.0,0.9993009557532447,0.9579721529892846,-0.007867324250662935,0.0,0.9579721529892846
hermite(bad),r=4.0,Principal Components (kDMD),4,1,1.8074254877509324e-07,7.7259580487791935,2.3394192362156695e-08,0.007053914553080312,0.95665762981395,1.0000000245739786,0.0,0.95665762981395
hermite(bad),r=4.0,Principal Components (kDMD),4,2,2.528791896356816e-06,108.09485778391233,2.3394192362156695e-08,0.9987402199101368,0.95665762981395,-0.043342394760028706,0.0,0.95665762981395
hermite(bad),r=4.0,Principal Components (kDMD),4,3,1.4703379739938868e-06,62.85055501092483,2.3394192362156695e-08,1.0017196022961394,0.95665762981395,0.04196170414892579,0.0,0.95665762981395
hermite(bad),r=4.0,Principal Components (kDMD),4,4,7.789139463441581e-07,33.295184304124895,2.3394192362156695e-08,0.9992504821150977,0.95665762981395,-0.009227501363327655,0.008490601376007122,0.95665762981395
hermite(bad),r=4.0,Principal Components (kDMD),4,5,7.789139463441581e-07,33.295184304124895,2.3394192362156695e-08,0.9992504821150977,0.95665762981395,-0.009227501363327655,-0.008490601376007122,0.95665762981395
hermite(ugly),r=4.0,Principal Components (kDMD),4,1,0.0,11.700712292613286,0.0,0.8817650256652716,,0.6778731027657504,0.0,
hermite(good),r=4.0,Principal Components (kDMD),5,1,0.0,6.68652699931229,0.0,7.549215711061895e-05,0.9469462725780193,1.0000000000014853,0.0,0.9469462725780193
hermite(good),r=4.0,Principal Components (kDMD),5,2,0.0,1083.350328840465,0.0,0.9973362354086687,0.9469462725780193,-0.05305372742346591,0.0,0.9469462725780193
hermite(good),r=4.0,Principal Components (kDMD),5,3,0.0,642.7990158727654,0.0,1.000409357749089,0.9469462725780193,0.02916026993718363,0.0,0.9469462725780193
hermite(good),r=4.0,Principal Components (kDMD),5,4,0.0,1183.9000912998401,0.0,0.9998898445686712,0.9469462725780193,0.007586254581281136,0.0,0.9469462725780193
hermite(good),r=4.0,Principal Components (kDMD),5,5,0.0,1176.4323704197118,0.0,1.0000531395398353,0.9469462725780193,0.0022792154165659022,0.0,0.9469462725780193
hermite(bad),r=4.0,Principal Components (kDMD),5,1,1.7409034249622768e-07,7.727440645009712,2.252884887684684e-08,0.007119220964567426,0.9463215718055003,1.000000013111059,0.0,0.9463215718055003
hermite(bad),r=4.0,Principal Components (kDMD),5,2,2.1563894590768295e-06,95.71680607671776,2.252884887684684e-08,0.9973564758561343,0.9463215718055003,-0.053678441305558676,0.0,0.9463215718055003
hermite(bad),r=4.0,Principal Components (kDMD),5,3,1.4951035761118246e-06,66.36395779849897,2.252884887684684e-08,1.0003745299091464,0.9463215718055003,0.02974574260670138,0.0,0.9463215718055003
hermite(bad),r=4.0,Principal Components (kDMD),5,4,2.3986619204394385e-06,106.47068270339241,2.252884887684684e-08,0.99991718951472,0.9463215718055003,0.007952000543503054,0.0,0.9463215718055003
hermite(bad),r=4.0,Principal Components (kDMD),5,5,2.385706583820739e-06,105.89562728491457,2.252884887684684e-08,1.0001275659806463,0.9463215718055003,0.0016698558888893335,0.0,0.9463215718055003
hermite(ugly),r=4.0,Principal Components (kDMD),5,1,0.0,11.651682839369814,0.0,0.8574018347069963,,0.6450404686242248,0.0,
hermite(good),r=4.0,Principal Components (kDMD),6,1,0.0,6.686521536046152,0.0,7.562183421587667e-05,0.9761341202219295,0.9999999999964209,0.0,0.9761341202219295
hermite(good),r=4.0,Principal Components (kDMD),6,2,0.0,568.2413991241694,0.0,0.9996837674015401,0.9761341202219295,0.02386587977449144,0.0,0.9761341202219295
hermite(good),r=4.0,Principal Components (kDMD),6,3,0.0,1096.9630340340432,0.0,0.9997225651326647,0.9761341202219295,-0.005655714377161966,0.020661689751613192,0.9761341202219295
hermite(good),r=4.0,Principal Components (kDMD),6,4,0.0,1096.9630340340432,0.0,0.9997225651326647,0.9761341202219295,-0.005655714377161966,-0.020661689751613192,0.9761341202219295
hermite(good),r=4.0,Principal Components (kDMD),6,5,0.0,1328.2533382589759,0.0,1.0000561065407538,0.9761341202219295,0.015705610596892336,0.0,0.9761341202219295
hermite(bad),r=4.0,Principal Components (kDMD),6,1,1.8684701017247813e-07,7.726956103470706,2.418119213703729e-08,0.007114729045740059,0.9795827541502768,0.9999999680136944,0.0,0.9795827541502768
hermite(bad),r=4.0,Principal Components (kDMD),6,2,2.3159862301731134e-06,95.77634622181498,2.418119213703729e-08,0.9997381165687879,0.9795827541502768,-0.0034121533204905566,-0.020130072818099677,0.9795827541502768
hermite(bad),r=4.0,Principal Components (kDMD),6,3,2.3159862301731134e-06,95.77634622181498,2.418119213703729e-08,0.9997381165687879,0.9795827541502768,-0.0034121533204905566,0.020130072818099677,0.9795827541502768
hermite(bad),r=4.0,Principal Components (kDMD),6,4,2.225322265776862e-06,92.02698746884492,2.418119213703729e-08,0.9999695228411081,0.9795827541502768,0.018277964861877508,-0.0014822235923781703,0.9795827541502768
hermite(bad),r=4.0,Principal Components (kDMD),6,5,2.225322265776862e-06,92.02698746884492,2.418119213703729e-08,0.9999695228411081,0.9795827541502768,0.018277964861877508,0.0014822235923781703,0.9795827541502768
hermite(ugly),r=4.0,Principal Components (kDMD),6,1,0.0,11.517579027051758,0.0,0.872319205516772,,0.6817468871443693,0.0,
hermite(good),r=4.0,Principal Components (kDMD),7,1,0.0,6.686528967245821,0.0,7.566966598556907e-05,0.9745778176863245,0.9999999999989937,0.0,0.9745778176863245
hermite(good),r=4.0,Principal Components (kDMD),7,2,0.0,1034.6991049343148,0.0,1.000903201789055,0.9745778176863245,-0.025422182312669198,0.0,0.9745778176863245
hermite(good),r=4.0,Principal Components (kDMD),7,3,0.0,790.0182501775591,0.0,0.9988803932242636,0.9745778176863245,0.017831098075984576,0.01153684047997128,0.9745778176863245
hermite(good),r=4.0,Principal Components (kDMD),7,4,0.0,790.0182501775591,0.0,0.9988803932242636,0.9745778176863245,0.017831098075984576,-0.01153684047997128,0.9745778176863245
hermite(good),r=4.0,Principal Components (kDMD),7,5,0.0,348.501002231793,0.0,0.9979807442726107,0.9745778176863245,0.010350176193017238,0.0,0.9745778176863245
hermite(bad),r=4.0,Principal Components (kDMD),7,1,1.7396796880724884e-07,7.726703831271975,2.251515945300703e-08,0.007131978660216411,0.9761586306499721,0.999999989873755,0.0,0.9761586306499721
hermite(bad),r=4.0,Principal Components (kDMD),7,2,2.1462880256124495e-06,95.32635245564741,2.251515945300703e-08,1.0007919009979693,0.9761586306499721,-0.023841359223782905,0.0,0.9761586306499721
hermite(bad),r=4.0,Principal Components (kDMD),7,3,1.5308827931065965e-06,67.99342444373133,2.251515945300703e-08,0.9988111644053312,0.9761586306499721,0.016516267044138215,0.01194663448096859,0.9761586306499721
hermite(bad),r=4.0,Principal Components (kDMD),7,4,1.5308827931065965e-06,67.99342444373133,2.251515945300703e-08,0.9988111644053312,0.9761586306499721,0.016516267044138215,-0.01194663448096859,0.9761586306499721
hermite(bad),r=4.0,Principal Components (kDMD),7,5,9.769471764215263e-07,43.3906399135472,2.251515945300703e-08,0.997912989498049,0.9761586306499721,0.011742851556941642,0.0,0.9761586306499721
hermite(ugly),r=4.0,Principal Components (kDMD),7,1,0.0,11.578203671396354,0.0,0.855051749028062,,0.6711626985581329,0.0,
hermite(good),r=4.0,Principal Components (kDMD),8,1,0.0,6.686527101391595,0.0,7.679089983769363e-05,0.9392875381815704,0.9999999999954279,0.0,0.9392875381815704
hermite(good),r=4.0,Principal Components (kDMD),8,2,0.0,823.8079296268332,0.0,1.003713327618155,0.9392875381815704,0.060712461813857456,0.0,0.9392875381815704
hermite(good),r=4.0,Principal Components (kDMD),8,3,0.0,1017.6352784769254,0.0,0.9992853409678525,0.9392875381815704,-0.02904201529470088,0.011317149403260876,0.9392875381815704
hermite(good),r=4.0,Principal Components (kDMD),8,4,0.0,1017.6352784769254,0.0,0.9992853409678525,0.9392875381815704,-0.02904201529470088,-0.011317149403260876,0.9392875381815704
hermite(good),r=4.0,Principal Components (kDMD),8,5,0.0,968.1744549582429,0.0,1.002003208869154,0.9392875381815704,-0.013855302381643758,0.0,0.9392875381815704
hermite(bad),r=4.0,Principal Components (kDMD),8,1,1.7886191055868135e-07,7.727039392571031,2.3147534452929498e-08,0.007235761248113403,0.9395969220270144,0.9999999562559588,0.0,0.9395969220270144
hermite(bad),r=4.0,Principal Components (kDMD),8,2,1.7767820258753296e-06,76.75901852477702,2.3147534452929498e-08,1.0036246622410767,0.9395969220270144,0.06040303422894447,0.0,0.9395969220270144
hermite(bad),r=4.0,Principal Components (kDMD),8,3,2.083055064545688e-06,89.99036457993311,2.3147534452929498e-08,0.9989701174059956,0.9395969220270144,-0.027778227040724787,0.008359629247165483,0.9395969220270144
hermite(bad),r=4.0,Principal Components (kDMD),8,4,2.083055064545688e-06,89.99036457993311,2.3147534452929498e-08,0.9989701174059956,0.9395969220270144,-0.027778227040724787,-0.008359629247165483,0.9395969220270144
hermite(bad),r=4.0,Principal Components (kDMD),8,5,2.4382617512717767e-06,105.33570027641522,2.3147534452929498e-08,1.001880420708813,0.9395969220270144,-0.013033093937925714,0.0,0.9395969220270144
hermite(ugly),r=4.0,Principal Components (kDMD),8,1,0.0,11.631341244788198,0.0,0.892768108893278,,0.6726597349188592,0.0,
hermite(good),r=4.0,Principal Components (kDMD),9,1,0.0,6.686527023291347,0.0,7.614473525571792e-05,0.9460966066771147,0.9999999999979601,0.0,0.9460966066771147
hermite(good),r=4.0,Principal Components (kDMD),9,2,0.0,1194.3142833545976,0.0,0.999441132790374,0.9460966066771147,-0.053903393320845386,0.0,0.9460966066771147
hermite(good),r=4.0,Principal Components (kDMD),9,3,0.0,293.6896662801062,0.0,0.9995365907810726,0.9460966066771147,0.03131508964786299,0.0,0.9460966066771147
hermite(good),r=4.0,Principal Components (kDMD),9,4,0.0,899.2210585482338,0.0,1.0001574282051637,0.9460966066771147,0.01604067660851927,0.023793564496316203,0.9460966066771147
hermite(good),r=4.0,Principal Components (kDMD),9,5,0.0,899.2210585482338,0.0,1.0001574282051637,0.9460966066771147,0.01604067660851927,-0.023793564496316203,0.9460966066771147
hermite(bad),r=4.0,Principal Components (kDMD),9,1,1.819490599645186e-07,7.727328887141774,2.3546177808903757e-08,0.007168215786659744,0.9470185675885796,0.9999999807268055,0.0,0.9470185675885796
hermite(bad),r=4.0,Principal Components (kDMD),9,2,2.4764895807519177e-06,105.17586339705026,2.3546177808903757e-08,0.9994221074077994,0.9470185675885796,-0.05298141313822588,0.0,0.9470185675885796
hermite(bad),r=4.0,Principal Components (kDMD),9,3,3.669083823830633e-07,15.582502831704621,2.3546177808903757e-08,0.9996965366145021,0.9470185675885796,0.03143418520802927,0.0,0.9470185675885796
hermite(bad),r=4.0,Principal Components (kDMD),9,4,1.9033913103121455e-06,80.83653006274321,2.3546177808903757e-08,1.0001236890139944,0.9470185675885796,0.015480108217068682,0.021984824897826268,0.9470185675885796
hermite(bad),r=4.0,Principal Components (kDMD),9,5,1.9033913103121455e-06,80.83653006274321,2.3546177808903757e-08,1.0001236890139944,0.9470185675885796,0.015480108217068682,-0.021984824897826268,0.9470185675885796
hermite(ugly),r=4.0,Principal Components (kDMD),9,1,0.0,11.647599142382452,0.0,0.8499121022743592,,0.6699521018192751,0.0,
hermite(good),r=4.0,Reduced Rank,0,1,1.6684059263150916e-12,21.56079882612018,7.73814523186346e-14,0.10663932380122963,0.803486307924949,1.0000391798660067,0.0,0.803486307924949
hermite(good),r=4.0,Reduced Rank,0,2,5.642359974065594e-11,729.1618088055488,7.73814523186346e-14,1.0045953036030988,0.803486307924949,0.1965528719410576,0.0,0.803486307924949
hermite(good),r=4.0,Reduced Rank,0,3,2.1680411118480605e-10,2801.758104669178,7.73814523186346e-14,1.0020981796062942,0.803486307924949,0.040468972030894196,0.0,0.803486307924949
hermite(good),r=4.0,Reduced Rank,0,4,3.2238844950468904e-10,4166.223815200392,7.73814523186346e-14,1.0000251256928228,0.803486307924949,-0.0006398033886353136,0.0,0.803486307924949
hermite(good),r=4.0,Reduced Rank,0,5,,,7.73814523186346e-14,,0.803486307924949,-6.759429117314327e-19,0.0,0.803486307924949
hermite(bad),r=4.0,Reduced Rank,0,1,5.347654982318619e-07,275.3003373426684,1.942480359427367e-09,0.07643017893134187,0.9619659932158903,1.0000112615229988,0.0,0.9619659932158903
hermite(bad),r=4.0,Reduced Rank,0,2,1.225363423134332e-05,6308.240992951726,1.942480359427367e-09,0.998834072478775,0.9619659932158903,-0.0380452683071085,0.0,0.9619659932158903
hermite(bad),r=4.0,Reduced Rank,0,3,1.0242733976025812e-05,5273.018039186412,1.942480359427367e-09,0.999572045706628,0.9619659932158903,0.03790526812735552,0.0,0.9619659932158903
hermite(bad),r=4.0,Reduced Rank,0,4,8.604245757837252e-06,4429.514932327933,1.942480359427367e-09,1.0005453514729796,0.9619659932158903,0.023272703679960715,0.0,0.9619659932158903
hermite(bad),r=4.0,Reduced Rank,0,5,1.2332299287926846e-05,6348.738214044204,1.942480359427367e-09,0.9989764280558602,0.9619659932158903,0.00012137500036060832,0.0,0.9619659932158903
hermite(ugly),r=4.0,Reduced Rank,0,1,,,2.857371571138838e-16,,3.383325764501316,3.3873632651117687,0.0,3.383325764501316
hermite(ugly),r=4.0,Reduced Rank,0,2,,,2.857371571138838e-16,,3.383325764501316,-0.0040375006104523435,0.0,3.383325764501316
hermite(ugly),r=4.0,Reduced Rank,0,3,,,2.857371571138838e-16,,3.383325764501316,-0.00034277167084622125,0.0,3.383325764501316
hermite(ugly),r=4.0,Reduced Rank,0,4,,,2.857371571138838e-16,,3.383325764501316,0.0001193394432866385,0.0,3.383325764501316
hermite(ugly),r=4.0,Reduced Rank,0,5,,,2.857371571138838e-16,,3.383325764501316,-1.3980053494169151e-19,0.0,3.383325764501316
hermite(good),r=4.0,Reduced Rank,1,1,2.148756710676503e-11,262.36596881299346,8.189921583191577e-14,0.10753313737348127,0.889738293777056,1.0000120485224044,0.0,0.889738293777056
hermite(good),r=4.0,Reduced Rank,1,2,1.800725553471088e-10,2198.709151460951,8.189921583191577e-14,1.0071794617192085,0.889738293777056,-0.11027375474534837,0.0,0.889738293777056
hermite(good),r=4.0,Reduced Rank,1,3,2.3848946265143144e-10,2911.987132341909,8.189921583191577e-14,1.0000332359719797,0.889738293777056,-0.0009724681965187238,0.0,0.889738293777056
hermite(good),r=4.0,Reduced Rank,1,4,,,8.189921583191577e-14,,0.889738293777056,7.13000571263148e-18,0.0,0.889738293777056
