kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank
rbf(gamma=1.0),r=4.0,Principal Components (kDMD),3.0,1.0,1.575328664806465e-05,3.791036623990708e-06,36.708912282053795,4.2906757841536327e-07,0.5043147390469478,0.0007224193275617092,0.2,4.0,0.961197824384753,0.014296774858110204,5.0
rbf(gamma=1.0),r=4.0,Reduced Rank,3.0,1.0,0.00038361122959303215,0.00026157192124353485,403.0674871969256,1.0291313884567898e-06,0.5090107560647397,0.007093307904435954,0.3,3.7,0.9442172244334175,0.026566865529250944,5.0
rbf(gamma=12.5),r=0.0,Principal Components (kDMD),3.0,1.0,2.3230162039342698e-06,1.728616819987089e-06,62.075249100637336,4.871731173188146e-08,0.4100251711674433,0.14794628550252958,0.3,3.7,0.9508850218686156,0.02140163029703402,5.0
rbf(gamma=12.5),r=0.0,Reduced Rank,3.0,1.0,4.9283061828541655e-06,7.538376082189069e-06,386.2269309270582,1.3160068170735576e-08,0.23622565510627205,0.1615824917992817,0.4,3.9,0.940185553586675,0.02517096028876692,5.0
rbf(gamma=12.5),r=0.5,Principal Components (kDMD),3.0,1.0,6.306612687513624e-06,4.096027163696167e-06,56.29247624107458,1.5691246542692588e-07,0.4177681599491432,0.1354962589941966,0.3,4.1,0.9533742792037595,0.020083815081784966,5.0
rbf(gamma=12.5),r=0.5,Reduced Rank,3.0,1.0,2.1288244452198016e-05,2.2802445247913984e-05,372.6434697963066,5.3508856067189314e-08,0.2899700184249652,0.21096809202657874,0.5,4.1,0.9399486160234829,0.03177137424354216,5.0
rbf(gamma=12.5),r=1.2,Principal Components (kDMD),3.0,1.0,0.0006251921754553151,0.0003701297735301441,26.547250635593464,2.6987484584250467e-05,0.48744541517095175,0.07352886114283956,0.2,4.2,0.9505919972515867,0.01862712734310163,5.0
rbf(gamma=12.5),r=1.2,Reduced Rank,3.0,1.0,0.0884481554963723,0.18639663491353536,441.2092155640721,0.00014768385676122277,0.3683332715467521,0.19920658316895973,0.1,4.0,0.9412143315093717,0.011235205560675199,5.0
rbf(gamma=12.5),r=2.5,Principal Components (kDMD),3.0,1.0,9.40952769691533e-05,9.065154434983948e-05,31.66708836153293,3.450788304735623e-06,0.48840868491487455,0.07186260445325598,0.2,4.1,0.9533090589992981,0.014796018566320223,5.0
rbf(gamma=12.5),r=2.5,Reduced Rank,3.0,1.0,0.010047676491714076,0.010118284249097716,424.4826460666054,2.1925414453472367e-05,0.4152798786671517,0.2080419476912178,0.8,4.1,0.9288480131880567,0.046840339971437404,5.0
rbf(gamma=12.5),r=3.2,Principal Components (kDMD),3.0,1.0,0.006823962341450279,0.001846600506635484,14.54730802668032,0.0004678432027476029,0.5483849381990897,0.018265192553834617,0.7,4.4,0.9252384569679821,0.021127627473791884,5.0
rbf(gamma=12.5),r=3.2,Reduced Rank,3.0,1.0,9.802515927533701,7.540707907007321,384.0760632919928,0.025356777422275417,0.514066591111277,0.015091354808909913,0.9,4.0,0.9120740338066549,0.03702697629057673,5.0
rbf(gamma=12.5),r=4.0,Principal Components (kDMD),3.0,1.0,0.09305591576247842,0.00813643204376472,10.643220721910314,0.008741322789165529,0.5863876678871142,0.001999239972876311,0.2,5.0,0.9594866438469669,0.014032866932039626,5.0
rbf(gamma=12.5),r=4.0,Reduced Rank,3.0,1.0,228.475175088935,84.96586716570906,447.15468134180355,0.5077685085871168,0.5229486754234185,0.0031987192441249646,0.1,4.0,0.9477128295571046,0.01200251877114425,5.0
rbf(gamma=2.5),r=0.0,Principal Components (kDMD),3.0,1.0,4.983034080516055e-09,4.395004546647647e-09,244.13507185394357,2.7023982547566558e-11,0.3145886263988798,0.1801407305640294,0.3,3.3,0.9517554175339319,0.020192895007131246,5.0
rbf(gamma=2.5),r=0.0,Reduced Rank,3.0,1.0,1.1060012114440286e-09,1.4361339267863926e-09,456.0061463085433,2.308691569999637e-12,0.2985771305608589,0.20149242815314766,1.0,3.2,0.912526328186557,0.02288219783779786,4.9
rbf(gamma=2.5),r=0.5,Principal Components (kDMD),3.0,1.0,1.384018697569168e-08,1.0537855571474467e-08,234.72890425372736,9.045784390175829e-11,0.31164317268593583,0.16928922152010897,0.2,3.7,0.9538700817815879,0.020286056092216176,5.0
rbf(gamma=2.5),r=0.5,Reduced Rank,3.0,1.0,7.363939870370504e-07,2.3239805664295238e-06,492.29796000245375,2.136911750551641e-09,0.2886458589156965,0.2014042428444094,0.3,3.5,0.9485461371875121,0.026064949968210075,4.9
rbf(gamma=2.5),r=1.2,Principal Components (kDMD),3.0,1.0,1.1055394059954388e-06,6.342459261030751e-07,88.02237513279944,1.8040660785967133e-08,0.4084003145906487,0.1262911335179681,0.2,4.0,0.9510528699870437,0.019120348935117774,5.0
rbf(gamma=2.5),r=1.2,Reduced Rank,3.0,1.0,4.1294011753664065e-06,5.280762102461846e-06,424.6869806637761,8.611281351695085e-09,0.3827667463668586,0.19629826676095158,0.5,4.0,0.9406167933666847,0.0240745102507936,5.0
rbf(gamma=2.5),r=2.5,Principal Components (kDMD),3.0,1.0,1.8056865679715152e-07,1.9005416733378655e-07,114.93054984225904,1.9066990933521667e-09,0.46541422965281537,0.06867611670776382,0.3,4.0,0.9516733013301695,0.019509844842946378,5.0
rbf(gamma=2.5),r=2.5,Reduced Rank,3.0,1.0,4.6793397430184266e-05,0.00014192142596264372,438.01968295763135,1.0059876979475395e-07,0.44802834569004546,0.1563083557510434,0.7,3.7,0.9353591126803369,0.023398199241982783,4.9
rbf(gamma=2.5),r=3.2,Principal Components (kDMD),3.0,1.0,3.2598900951906404e-05,1.5378191701918934e-05,34.20233117753412,1.0104795005886708e-06,0.5049317009713776,0.005355469342494686,0.6,4.0,0.9262159292290336,0.018042221511338156,5.0
rbf(gamma=2.5),r=3.2,Reduced Rank,3.0,1.0,0.0040900591599762615,0.004613433702020227,370.00951016810706,1.293965033416177e-05,0.5070126780308721,0.004606601311736061,1.0,4.0,0.9120917602983913,0.03050546569441959,5.0
rbf(gamma=2.5),r=4.0,Principal Components (kDMD),3.0,1.0,0.0005547217290181321,0.00010537658309450693,19.405439123084417,2.8567477309095713e-05,0.5152383056640037,0.0008119745527435244,0.2,4.0,0.9617288271019324,0.01575727635027235,5.0
rbf(gamma=2.5),r=4.0,Reduced Rank,3.0,1.0,0.1422671034201162,0.14376751354625672,467.19860871187956,0.00032277200885737065,0.5116420151436523,0.0025195798672585203,0.1,4.0,0.9497520576026357,0.010394132881249003,5.0
rbf(gamma=25.0),r=0.0,Principal Components (kDMD),3.0,1.0,2.5042148568741106e-05,1.7161918693951852e-05,37.8814576057576,8.061390658162688e-07,0.4775125176123709,0.13389774086635353,0.3,4.0,0.9507731780071801,0.02128881702260313,5.0
rbf(gamma=25.0),r=0.0,Reduced Rank,3.0,1.0,0.0004250454628715678,0.0010388239191086242,388.1600543277737,1.152737654061526e-06,0.29759937085549365,0.2025988007810277,0.6,4.2,0.933735108516814,0.02504344171877487,5.0
rbf(gamma=25.0),r=0.5,Principal Components (kDMD),3.0,1.0,6.72366805054073e-05,4.029709014052358e-05,34.57259895777567,2.4837176551024734e-06,0.4852600526277523,0.12006692438815887,0.3,4.3,0.9532028014523963,0.019840945082050938,5.0
rbf(gamma=25.0),r=0.5,Reduced Rank,3.0,1.0,0.004429132847868168,0.012086257939203024,445.486678581285,1.0051474973359718e-05,0.2559324249494669,0.17283089889107245,0.6,3.8,0.9343819051869282,0.039031078606518735,4.9
rbf(gamma=25.0),r=1.2,Principal Components (kDMD),3.0,1.0,0.00562349542251625,0.00313340310543133,19.542199743534944,0.0003008114027294665,0.5445447341269839,0.04572972138416624,0.2,4.4,0.9467402062660766,0.017828301707423305,5.0
rbf(gamma=25.0),r=1.2,Reduced Rank,3.0,1.0,0.6250717878571812,0.5307655027132258,383.28964267731624,0.0017641425472308767,0.40396166315789706,0.23651601158614538,0.5,4.3,0.9340233557584169,0.014898749458800513,5.0
rbf(gamma=25.0),r=2.5,Principal Components (kDMD),3.0,1.0,0.0010942129951822806,0.000993136720501634,21.085108931076192,5.459940374482363e-05,0.5209671288761846,0.03674955734992073,0.2,4.1,0.9528744715106416,0.011806344792680005,5.0
rbf(gamma=25.0),r=2.5,Reduced Rank,3.0,1.0,0.2798737920269739,0.1580160159565166,416.5559576015929,0.0006432663309224288,0.43561184454208385,0.17550527740955787,0.5,4.2,0.9280741552002463,0.04162155176907948,5.0
rbf(gamma=25.0),r=3.2,Principal Components (kDMD),3.0,1.0,0.03237841822140885,0.005807012493536996,11.974747916528818,0.0027026336786186347,0.5904531348050416,0.0223844459171711,0.6,5.0,0.9257904574837414,0.0237891284585066,5.0
