kernel,kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
poly(p=2),0.5,Principal Components (kDMD),5,,4,0.0014424804364211452,5
poly(p=2),0.5,Principal Components (kDMD),6,,4,3.903048889253302e-05,5
poly(p=2),0.5,Principal Components (kDMD),7,,4,0.00024167449274936637,5
poly(p=2),0.5,Principal Components (kDMD),8,,4,0.00014524520238823335,5
poly(p=2),0.5,Principal Components (kDMD),9,,4,0.00015908520714713603,5
poly(p=2),0.8,Principal Components (kDMD),0,,4,0.0001057096458555451,5
poly(p=2),0.8,Principal Components (kDMD),1,,4,0.0,5
poly(p=2),0.8,Principal Components (kDMD),2,,2,0.0001556375805802368,5
poly(p=2),0.8,Principal Components (kDMD),3,,4,0.0,5
poly(p=2),0.8,Principal Components (kDMD),4,,4,0.0002576704169235944,5
poly(p=2),0.8,Principal Components (kDMD),5,,4,0.0013952145716874531,5
poly(p=2),0.8,Principal Components (kDMD),6,,4,0.0003420475019227931,5
poly(p=2),0.8,Principal Components (kDMD),7,,4,7.617497134382312e-05,5
poly(p=2),0.8,Principal Components (kDMD),8,,4,0.0001674248805252354,5
poly(p=2),0.8,Principal Components (kDMD),9,,4,0.000269747930844888,5
poly(p=2),1.0,Principal Components (kDMD),0,,4,5.889408104386984e-05,5
poly(p=2),1.0,Principal Components (kDMD),1,,4,0.00015952103170013832,5
poly(p=2),1.0,Principal Components (kDMD),2,,4,0.0,5
poly(p=2),1.0,Principal Components (kDMD),3,,4,0.0,5
poly(p=2),1.0,Principal Components (kDMD),4,,4,0.0,5
poly(p=2),1.0,Principal Components (kDMD),5,,4,0.0,5
poly(p=2),1.0,Principal Components (kDMD),6,,4,0.0001156401624015091,5
poly(p=2),1.0,Principal Components (kDMD),7,,4,0.0,5
poly(p=2),1.0,Principal Components (kDMD),8,,4,0.00010872823532825926,5
poly(p=2),1.0,Principal Components (kDMD),9,,4,5.1069723022934e-05,5
poly(p=2),1.2,Principal Components (kDMD),0,,4,0.0,5
poly(p=2),1.2,Principal Components (kDMD),1,,4,0.0,5
poly(p=2),1.2,Principal Components (kDMD),2,,4,0.0,5
poly(p=2),1.2,Principal Components (kDMD),3,,4,0.0,5
poly(p=2),1.2,Principal Components (kDMD),4,,4,0.00011800061414668495,5
poly(p=2),1.2,Principal Components (kDMD),5,,4,1.1825053804703778e-05,5
poly(p=2),1.2,Principal Components (kDMD),6,,4,0.0,5
poly(p=2),1.2,Principal Components (kDMD),7,,4,0.00016949478992245304,5
poly(p=2),1.2,Principal Components (kDMD),8,,4,0.0,5
poly(p=2),1.2,Principal Components (kDMD),9,,4,0.0,5
poly(p=2),1.5,Principal Components (kDMD),0,,4,0.0001908385764637366,5
poly(p=2),1.5,Principal Components (kDMD),1,,4,0.00013332764010298703,5
poly(p=2),1.5,Principal Components (kDMD),2,,4,0.00019097048921845605,5
poly(p=2),1.5,Principal Components (kDMD),3,,4,0.00045724793631340965,5
poly(p=2),1.5,Principal Components (kDMD),4,,4,0.0001860557477996183,5
poly(p=2),1.5,Principal Components (kDMD),5,,4,0.0,5
poly(p=2),1.5,Principal Components (kDMD),6,,4,0.00023333022358063005,5
poly(p=2),1.5,Principal Components (kDMD),7,,4,0.0,5
poly(p=2),1.5,Principal Components (kDMD),8,,2,0.00016805259782004534,5
poly(p=2),1.5,Principal Components (kDMD),9,,4,6.085366392960534e-05,5
poly(p=2),2.0,Principal Components (kDMD),0,,2,3.605923669214306e-05,5
poly(p=2),2.0,Principal Components (kDMD),1,,4,0.0005054307318973494,5
poly(p=2),2.0,Principal Components (kDMD),2,,4,0.0010206308529441266,5
poly(p=2),2.0,Principal Components (kDMD),3,,4,0.0005800547656784616,5
poly(p=2),2.0,Principal Components (kDMD),4,,4,0.0005800240891256081,5
poly(p=2),2.0,Principal Components (kDMD),5,,4,0.000616901859058272,5
poly(p=2),2.0,Principal Components (kDMD),6,,4,0.00016738740705513067,5
poly(p=2),2.0,Principal Components (kDMD),7,,4,0.000845858692500312,5
poly(p=2),2.0,Principal Components (kDMD),8,,4,0.00012244720894749594,5
poly(p=2),2.0,Principal Components (kDMD),9,,4,0.0004258705282301767,5
poly(p=2),3.0,Principal Components (kDMD),0,,4,0.0002816784207364531,5
poly(p=2),3.0,Principal Components (kDMD),1,,4,0.0005564635506782878,5
poly(p=2),3.0,Principal Components (kDMD),2,,4,0.0006761254596081567,5
poly(p=2),3.0,Principal Components (kDMD),3,,4,0.0006752133963530138,5
poly(p=2),3.0,Principal Components (kDMD),4,,4,0.0006025398754048172,5
poly(p=2),3.0,Principal Components (kDMD),5,,4,0.0007103297119617213,5
poly(p=2),3.0,Principal Components (kDMD),6,,4,0.00048414982040889676,5
poly(p=2),3.0,Principal Components (kDMD),7,,4,0.0010548962198231315,5
poly(p=2),3.0,Principal Components (kDMD),8,,4,0.0003202748897870311,5
poly(p=2),3.0,Principal Components (kDMD),9,,4,0.0003919815991332287,5
poly(p=2),0.5,Reduced Rank,0,,4,0.00015655710657380695,5
poly(p=2),0.5,Reduced Rank,1,,4,3.8843459890802734e-05,5
poly(p=2),0.5,Reduced Rank,2,,4,0.0001752547518303338,5
poly(p=2),0.5,Reduced Rank,3,,4,0.00019734204565069469,5
poly(p=2),0.5,Reduced Rank,4,,4,0.00012732796752390474,5
poly(p=2),0.5,Reduced Rank,5,,4,0.0014667335573745888,5
poly(p=2),0.5,Reduced Rank,6,,4,3.898903665600084e-05,5
poly(p=2),0.5,Reduced Rank,7,,4,0.00024247560813905888,5
poly(p=2),0.5,Reduced Rank,8,,4,0.00014461752461025768,5
poly(p=2),0.5,Reduced Rank,9,,4,0.00015951202376229823,5
poly(p=2),0.8,Reduced Rank,0,,4,0.00010575272423440918,5
poly(p=2),0.8,Reduced Rank,1,,4,0.0,5
poly(p=2),0.8,Reduced Rank,2,,2,0.00018197505568862127,5
poly(p=2),0.8,Reduced Rank,3,,4,0.0,5
poly(p=2),0.8,Reduced Rank,4,,4,0.00025920964699477356,5
poly(p=2),0.8,Reduced Rank,5,,4,0.001434832961917043,5
poly(p=2),0.8,Reduced Rank,6,,4,0.00034908756433371657,5
poly(p=2),0.8,Reduced Rank,7,,4,8.892265487236983e-05,5
poly(p=2),0.8,Reduced Rank,8,,4,0.00016739026985768124,5
poly(p=2),0.8,Reduced Rank,9,,4,0.0002691039563631481,5
poly(p=2),1.0,Reduced Rank,0,,4,5.834216819522453e-05,5
poly(p=2),1.0,Reduced Rank,1,,4,0.00015895751658656643,5
poly(p=2),1.0,Reduced Rank,2,,4,0.0,5
poly(p=2),1.0,Reduced Rank,3,,4,0.0,5
poly(p=2),1.0,Reduced Rank,4,,4,0.0,5
poly(p=2),1.0,Reduced Rank,5,,4,0.0,5
poly(p=2),1.0,Reduced Rank,6,,4,0.00011567023579583946,5
poly(p=2),1.0,Reduced Rank,7,,4,0.0,5
poly(p=2),1.0,Reduced Rank,8,,4,0.00010864753848838227,5
poly(p=2),1.0,Reduced Rank,9,,4,5.150586181379424e-05,5
poly(p=2),1.2,Reduced Rank,0,,4,0.0,5
poly(p=2),1.2,Reduced Rank,1,,4,0.0,5
poly(p=2),1.2,Reduced Rank,2,,4,0.0,5
poly(p=2),1.2,Reduced Rank,3,,4,0.0,5
poly(p=2),1.2,Reduced Rank,4,,4,0.00011939126708926384,5
poly(p=2),1.2,Reduced Rank,5,,4,1.183477798205601e-05,5
poly(p=2),1.2,Reduced Rank,6,,4,0.0,5
poly(p=2),1.2,Reduced Rank,7,,4,0.00016948161053587096,5
poly(p=2),1.2,Reduced Rank,8,,4,0.0,5
poly(p=2),1.2,Reduced Rank,9,,4,0.0,5
poly(p=2),1.5,Reduced Rank,0,,4,0.0001909458749103088,5
poly(p=2),1.5,Reduced Rank,1,,4,0.00016004268906211205,5
poly(p=2),1.5,Reduced Rank,2,,4,0.00019368533712926794,5
poly(p=2),1.5,Reduced Rank,3,,4,0.0005053529654917011,5
poly(p=2),1.5,Reduced Rank,4,,4,0.0001854546913974131,5
poly(p=2),1.5,Reduced Rank,5,,4,0.0,5
poly(p=2),1.5,Reduced Rank,6,,4,0.0002339764692375068,5
poly(p=2),1.5,Reduced Rank,7,,4,0.0,5
poly(p=2),1.5,Reduced Rank,8,,2,0.00017724904640870065,5
poly(p=2),1.5,Reduced Rank,9,,4,6.066648630831395e-05,5
poly(p=2),2.0,Reduced Rank,0,,2,3.599929166797633e-05,5
poly(p=2),2.0,Reduced Rank,1,,4,0.0005708142937445038,5
poly(p=2),2.0,Reduced Rank,2,,4,0.0010151587444742205,5
poly(p=2),2.0,Reduced Rank,3,,4,0.000659237646353672,5
poly(p=2),2.0,Reduced Rank,4,,4,0.0005896005386474279,5
poly(p=2),2.0,Reduced Rank,5,,4,0.0006409735311628806,5
poly(p=2),2.0,Reduced Rank,6,,4,0.00015723201408979204,5
poly(p=2),2.0,Reduced Rank,7,,4,0.0008212127022269033,5
poly(p=2),2.0,Reduced Rank,8,,4,0.00012314375334798733,5
poly(p=2),2.0,Reduced Rank,9,,4,0.0004295453545358763,5
poly(p=2),3.0,Reduced Rank,0,,4,0.0002780145234820841,5
poly(p=2),3.0,Reduced Rank,1,,4,0.0005841343764094731,5
poly(p=2),3.0,Reduced Rank,2,,4,0.0006695912554592898,5
poly(p=2),3.0,Reduced Rank,3,,4,0.0007273088997442612,5
poly(p=2),3.0,Reduced Rank,4,,4,0.0005599313623714242,5
poly(p=2),3.0,Reduced Rank,5,,4,0.0007488188077845459,5
poly(p=2),3.0,Reduced Rank,6,,4,0.00045879269020554503,5
poly(p=2),3.0,Reduced Rank,7,,4,0.0010196002860226594,5
poly(p=2),3.0,Reduced Rank,8,,4,0.00032234299089939356,5
poly(p=2),3.0,Reduced Rank,9,,4,0.000399803696339629,5
poly(p=3),0.5,Principal Components (kDMD),0,,4,0.00022873297113767954,5
poly(p=3),0.5,Principal Components (kDMD),1,,4,0.00012672424476611877,5
poly(p=3),0.5,Principal Components (kDMD),2,,4,0.0002287706892396546,5
poly(p=3),0.5,Principal Components (kDMD),3,,4,0.0002572421048833151,5
poly(p=3),0.5,Principal Components (kDMD),4,,4,0.0001959575932458657,5
poly(p=3),0.5,Principal Components (kDMD),5,,4,0.001495456009004581,5
poly(p=3),0.5,Principal Components (kDMD),6,,4,0.00011619404845553127,5
poly(p=3),0.5,Principal Components (kDMD),7,,4,0.0002557319952388726,5
poly(p=3),0.5,Principal Components (kDMD),8,,4,0.0002240420236433449,5
poly(p=3),0.5,Principal Components (kDMD),9,,4,0.000236629386278997,5
poly(p=3),0.8,Principal Components (kDMD),0,,4,0.00013808928682323973,5
poly(p=3),0.8,Principal Components (kDMD),1,,4,0.0,5
poly(p=3),0.8,Principal Components (kDMD),2,,4,0.00011619840544652149,5
poly(p=3),0.8,Principal Components (kDMD),3,,4,0.0,5
poly(p=3),0.8,Principal Components (kDMD),4,,4,0.00027284791627069094,5
poly(p=3),0.8,Principal Components (kDMD),5,,4,0.0014982371593038613,5
poly(p=3),0.8,Principal Components (kDMD),6,,2,0.00024122794845571338,5
poly(p=3),0.8,Principal Components (kDMD),7,,4,0.0,5
poly(p=3),0.8,Principal Components (kDMD),8,,4,0.00019320311563264525,5
poly(p=3),0.8,Principal Components (kDMD),9,,4,0.0002896848183766565,5
poly(p=3),1.0,Principal Components (kDMD),0,,4,8.859838148445043e-05,5
poly(p=3),1.0,Principal Components (kDMD),1,,4,0.00019894166621081677,5
poly(p=3),1.0,Principal Components (kDMD),2,,4,0.0,5
poly(p=3),1.0,Principal Components (kDMD),3,,4,0.0,5
poly(p=3),1.0,Principal Components (kDMD),4,,4,0.0,5
poly(p=3),1.0,Principal Components (kDMD),5,,4,0.0,5
poly(p=3),1.0,Principal Components (kDMD),6,,4,0.00013207616127242083,5
poly(p=3),1.0,Principal Components (kDMD),7,,4,0.0,5
poly(p=3),1.0,Principal Components (kDMD),8,,4,0.0001337187677031837,5
poly(p=3),1.0,Principal Components (kDMD),9,,4,9.621982305163534e-05,5
poly(p=3),1.2,Principal Components (kDMD),0,,4,0.0,5
poly(p=3),1.2,Principal Components (kDMD),1,,4,0.0,5
poly(p=3),1.2,Principal Components (kDMD),2,,4,0.0,5
poly(p=3),1.2,Principal Components (kDMD),3,,4,0.0,5
poly(p=3),1.2,Principal Components (kDMD),4,,4,0.00011212470706645217,5
poly(p=3),1.2,Principal Components (kDMD),5,,4,2.9211165216147528e-05,5
poly(p=3),1.2,Principal Components (kDMD),6,,4,0.0,5
poly(p=3),1.2,Principal Components (kDMD),7,,4,0.000160344816835023,5
poly(p=3),1.2,Principal Components (kDMD),8,,4,0.0,5
poly(p=3),1.2,Principal Components (kDMD),9,,4,2.20493526681409e-06,5
poly(p=3),1.5,Principal Components (kDMD),0,,4,0.00022817795690888154,5
poly(p=3),1.5,Principal Components (kDMD),1,,4,1.7857833688239566e-05,5
poly(p=3),1.5,Principal Components (kDMD),2,,4,0.00019892219100425823,5
poly(p=3),1.5,Principal Components (kDMD),3,,4,0.00023000029056341464,5
poly(p=3),1.5,Principal Components (kDMD),4,,4,0.0001698366771897275,5
poly(p=3),1.5,Principal Components (kDMD),5,,4,0.0,5
poly(p=3),1.5,Principal Components (kDMD),6,,4,0.00017936379618122,5
poly(p=3),1.5,Principal Components (kDMD),7,,4,0.0,5
poly(p=3),1.5,Principal Components (kDMD),8,,2,6.0644120595365614e-05,5
poly(p=3),1.5,Principal Components (kDMD),9,,4,9.268914309301657e-05,5
poly(p=3),2.0,Principal Components (kDMD),0,,2,2.079951467559571e-05,5
poly(p=3),2.0,Principal Components (kDMD),1,,4,0.0006479965479135874,5
poly(p=3),2.0,Principal Components (kDMD),2,,4,0.0007895490356728541,5
poly(p=3),2.0,Principal Components (kDMD),3,,4,0.0008448142940705727,5
poly(p=3),2.0,Principal Components (kDMD),4,,4,0.0005356533424402121,5
poly(p=3),2.0,Principal Components (kDMD),5,,4,0.000629947080818205,5
poly(p=3),2.0,Principal Components (kDMD),6,,4,0.00015854137457593787,5
poly(p=3),2.0,Principal Components (kDMD),7,,4,0.0007570214564326383,5
poly(p=3),2.0,Principal Components (kDMD),8,,4,0.00026181727245566666,5
