kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank
rbf(gamma=0.4374),1.75,Reduced Rank,3.0,1.0,0.015823465019439778,,33.59943526498309,0.00047094437435175575,0.3362521938878754,,3.0,4.2,0.04928013034703645,0.0006495079127645377,5.0
rbf(gamma=0.4834),1.934,Principal Components (kDMD),3.0,1.0,8.666931691081849e-05,,13.406248169598832,6.464845034523328e-06,0.32838790649856286,,3.2,4.6,0.051916424010114,0.005415540908408405,5.0
rbf(gamma=0.4834),1.934,Reduced Rank,3.0,1.0,0.010839124577091817,,33.8774089676553,0.0003199514044135001,0.32349874171677084,,3.0,4.2,0.04760753092780625,0.0004092358558832177,5.0
rbf(gamma=0.7533),1.507,Principal Components (kDMD),3.0,1.0,0.0006904876803715163,,11.027480611645743,6.261517972131512e-05,0.33345452420900445,,3.0,4.4,0.04266109950393593,0.0038230389411578903,5.0
rbf(gamma=0.7533),1.507,Reduced Rank,3.0,1.0,0.39832391098851333,,43.01809682484384,0.00925944986851378,0.3199314553840896,,3.0,4.0,0.039794940349456076,0.000615638196371572,5.0
rbf(gamma=0.7917),1.583,Principal Components (kDMD),3.0,1.0,0.0005980507893312443,,10.545184045025161,5.6713167525358004e-05,0.35156658436410504,,3.0,4.4,0.04588468938772132,0.00396801995859047,5.0
rbf(gamma=0.7917),1.583,Reduced Rank,3.0,1.0,0.2943522151217328,,48.97197554653725,0.006010625706574054,0.33548970222945484,,3.0,4.0,0.04045574743094225,0.001756687015116524,5.0
rbf(gamma=0.7952),1.59,Principal Components (kDMD),3.0,1.0,0.0006440846837325122,,10.735519532502451,5.999566968161213e-05,0.3286079764512796,,3.0,4.4,0.040930883345472145,0.003495017837001824,5.0
rbf(gamma=0.7952),1.59,Reduced Rank,3.0,1.0,0.14340588242325025,,42.458356788463036,0.003377565531745145,0.313568746794376,,3.0,4.2,0.036934837487608375,0.0009021552983676031,5.0
rbf(gamma=0.7981),1.596,Principal Components (kDMD),3.0,1.0,0.0006590377316019668,,10.40323696736599,6.334929538462964e-05,0.3434911524101517,,3.0,4.4,0.04684209985718109,0.004147144508263025,5.0
rbf(gamma=0.7981),1.596,Reduced Rank,3.0,1.0,0.19825802657803954,,53.64437271317378,0.003695784227696861,0.3252916405881756,,3.0,4.2,0.04193479696533835,0.001649940514268489,5.0
rbf(gamma=0.8164),1.633,Principal Components (kDMD),3.0,1.0,0.0007007002355546321,,10.127861853724578,6.918540612764635e-05,0.3514516986437512,,3.0,4.4,0.05069996151890497,0.004303243944217356,5.0
rbf(gamma=0.8164),1.633,Reduced Rank,3.0,1.0,0.08097230683318302,,45.70460743532392,0.0017716442909561367,0.3383559187290492,,3.0,4.2,0.045453575456505524,0.0014581052358916278,5.0
rbf(gamma=0.8424),1.685,Principal Components (kDMD),3.0,1.0,0.0008757590802872541,,10.539218490551775,8.309525806608494e-05,0.34931473522984124,,3.0,4.4,0.043875041650395886,0.004002981034362787,5.0
rbf(gamma=0.8424),1.685,Reduced Rank,3.0,1.0,0.82878426613633,,43.74357561584064,0.018946422519612382,0.33336439462953565,,3.0,4.0,0.03980830484061837,0.0009506507097505917,5.0
rbf(gamma=0.8429),1.686,Principal Components (kDMD),3.0,1.0,0.0007897431189392865,,10.119890675896048,7.803870063738212e-05,0.3507101742253599,,3.0,4.4,0.050048732535855865,0.004644464517689822,5.0
rbf(gamma=0.8429),1.686,Reduced Rank,3.0,1.0,0.7795155440853136,,42.873466525463726,0.018181770854062803,0.3359146659633322,,3.0,4.2,0.04526589503050711,0.0010037624423999162,5.0
rbf(gamma=0.8537),1.707,Principal Components (kDMD),3.0,1.0,0.0009122646824139644,,10.296971843122362,8.859543332861415e-05,0.3340052200978194,,3.2,4.6,0.051259816559447266,0.004422242214764471,5.0
