kernel,kind,omega,method,trial,eigenfunction_id,spectral_bias,metric_distortion,truncation,residual_spurious_score,spectral_gap,est_eig_real,est_eig_imag,gap
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),4,1,0.7845460504272228,7.980975856337755,0.09830202027289792,0.11180796017909767,0.010420987844013352,0.9999426968893248,0.0,0.010420987844013352
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),4,2,0.7097130583000368,7.219719964348548,0.09830202027289792,0.41629374025724675,0.010420987844013352,0.9895217090453114,0.0,0.010420987844013352
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),4,3,0.7549627702856467,7.680033108066159,0.09830202027289792,0.4941585048612706,0.010420987844013352,0.9697827155211134,0.0,0.010420987844013352
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),4,4,0.7118600351968155,7.241560582586286,0.09830202027289792,0.6036689098113489,0.010420987844013352,0.9381889559633897,0.0,0.010420987844013352
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),4,5,0.8635797013416354,8.784963919807925,0.09830202027289792,0.6898749384711175,0.010420987844013352,0.9068355788541314,0.0,0.010420987844013352
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),4,1,0.0,9.223571234293763,0.0,0.6553229521427982,0.9184124892524104,0.9184124916987743,0.0,0.9184124892524104
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),4,2,,,0.0,,0.9184124892524104,2.40517589505485e-09,4.470179673799724e-10,0.9184124892524104
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),4,3,,,0.0,,0.9184124892524104,2.40517589505485e-09,-4.470179673799724e-10,0.9184124892524104
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),4,4,,,0.0,,0.9184124892524104,-5.010880342223651e-11,2.3665579956963167e-10,0.9184124892524104
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),4,5,,,0.0,,0.9184124892524104,-5.010880342223651e-11,-2.3665579956963167e-10,0.9184124892524104
hermite(good),omega=2.0,2.0,Principal Components (kDMD),5,1,3.410667431412668e-06,6.686556205821068,5.100783312706573e-07,0.00030496199942374246,0.012213719674459722,0.9999999998743065,0.0,0.012213719674459722
hermite(good),omega=2.0,2.0,Principal Components (kDMD),5,2,9.854990497272127e-06,19.32054332267426,5.100783312706573e-07,0.3572988325615751,0.012213719674459722,0.9877862801998468,0.0,0.012213719674459722
hermite(good),omega=2.0,2.0,Principal Components (kDMD),5,3,2.495206144890934e-05,48.918097318016244,5.100783312706573e-07,0.5038510466337685,0.012213719674459722,0.96739504566183,0.0,0.012213719674459722
hermite(good),omega=2.0,2.0,Principal Components (kDMD),5,4,2.4222832139172225e-05,47.48845550609977,5.100783312706573e-07,0.6890941816965047,0.012213719674459722,0.912957904139788,0.0,0.012213719674459722
hermite(good),omega=2.0,2.0,Principal Components (kDMD),5,5,5.296013254923411e-05,103.82745022182182,5.100783312706573e-07,0.7283970064756474,0.012213719674459722,0.8528516662533941,0.0,0.012213719674459722
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),5,1,0.3857806376955841,7.962068650360045,0.04845231241232002,0.08540410942623258,0.01395340392953015,0.9999643491786925,0.0,0.01395340392953015
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),5,2,0.3850554866608519,7.947102367047056,0.04845231241232002,0.3618864132551362,0.01395340392953015,0.9860109452491623,0.0,0.01395340392953015
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),5,3,0.37590104900633314,7.758165302978447,0.04845231241232002,0.49689101935187624,0.01395340392953015,0.9686431940190172,0.0,0.01395340392953015
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),5,4,0.35955295185150943,7.420759380724324,0.04845231241232002,0.6498329220055828,0.01395340392953015,0.927857218930081,0.0,0.01395340392953015
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),5,5,0.4766093071411064,9.836667919690834,0.04845231241232002,0.710102332322418,0.01395340392953015,0.8815119046713035,0.0,0.01395340392953015
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),5,1,0.0,9.703992854513691,0.0,0.6311216788072296,0.9098384061385834,0.909838408871346,0.0,0.9098384061385834
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),5,2,0.0,0.0,0.0,1.0002539748128443,0.9098384061385834,2.7327626337825488e-09,0.0,0.9098384061385834
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),5,3,0.0,0.0,0.0,1.0000355896119135,0.9098384061385834,-4.93941236312523e-10,2.4671381586186773e-09,0.9098384061385834
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),5,4,0.0,0.0,0.0,1.0000355896119135,0.9098384061385834,-4.93941236312523e-10,-2.4671381586186773e-09,0.9098384061385834
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),5,5,0.0,0.0,0.0,1.0002084618461369,0.9098384061385834,6.691658482072954e-10,0.0,0.9098384061385834
hermite(good),omega=2.0,2.0,Principal Components (kDMD),6,1,5.015111956157929e-06,6.686563649378566,7.500282984106526e-07,0.00047799066561131067,0.010674584111413421,0.9999999994953174,0.0,0.010674584111413421
hermite(good),omega=2.0,2.0,Principal Components (kDMD),6,2,1.3094161957561562e-05,17.458223890096875,7.500282984106526e-07,0.4041181097676383,0.010674584111413421,0.989325415383904,0.0,0.010674584111413421
hermite(good),omega=2.0,2.0,Principal Components (kDMD),6,3,2.3713297689766902e-05,31.616537322680443,7.500282984106526e-07,0.5298222502240761,0.010674584111413421,0.9626942899552232,0.0,0.010674584111413421
hermite(good),omega=2.0,2.0,Principal Components (kDMD),6,4,5.077129026223516e-05,67.69249956277925,7.500282984106526e-07,0.6225005199204499,0.010674584111413421,0.9482262331735913,0.0,0.010674584111413421
hermite(good),omega=2.0,2.0,Principal Components (kDMD),6,5,7.057679701933415e-05,94.09884556208068,7.500282984106526e-07,0.6497152853329757,0.010674584111413421,0.8798949620781988,0.0,0.010674584111413421
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),6,1,0.4005637043089566,7.922830620603222,0.05055815572622437,0.12429138014118633,0.012311181926029535,0.999769044398754,0.0,0.012311181926029535
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),6,2,0.3822339452440281,7.560282604330926,0.05055815572622437,0.4106260121719449,0.012311181926029535,0.9874578624727245,0.0,0.012311181926029535
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),6,3,0.41796970471340683,8.267107427271267,0.05055815572622437,0.5370249084345977,0.012311181926029535,0.9638300687693359,0.0,0.012311181926029535
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),6,4,0.4199291933588186,8.305864549980065,0.05055815572622437,0.6769560079054932,0.012311181926029535,0.9460215049588879,0.0,0.012311181926029535
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),6,5,0.43044700327694246,8.51389844217895,0.05055815572622437,0.5875216609681415,0.012311181926029535,0.9077134152327428,0.0,0.012311181926029535
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),6,1,0.0,9.634500644280358,0.0,0.5947690480870678,0.9071355386830293,0.9071355413141589,0.0,0.9071355386830293
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),6,2,0.0,0.0,0.0,1.0000482437147058,0.9071355386830293,3.409322881699432e-10,2.6089476791803936e-09,0.9071355386830293
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),6,3,0.0,0.0,0.0,1.0000482437147058,0.9071355386830293,3.409322881699432e-10,-2.6089476791803936e-09,0.9071355386830293
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),6,4,0.0,0.0,0.0,1.0000223845974303,0.9071355386830293,1.5929253780891788e-09,0.0,0.9071355386830293
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),6,5,0.0,0.0,0.0,1.000266445413459,0.9071355386830293,-1.501786682286097e-10,0.0,0.9071355386830293
hermite(good),omega=2.0,2.0,Principal Components (kDMD),7,1,2.192612915166583e-06,6.686620037194723,3.2791049932103855e-07,0.00030404972319697174,0.010182036706206432,1.00000000007559,0.0,0.010182036706206432
hermite(good),omega=2.0,2.0,Principal Components (kDMD),7,2,8.112456095278888e-06,24.73984856256903,3.2791049932103855e-07,0.4842895384285402,0.010182036706206432,0.9898179633693835,0.0,0.010182036706206432
hermite(good),omega=2.0,2.0,Principal Components (kDMD),7,3,1.836555196371237e-05,56.007819212070125,3.2791049932103855e-07,0.4812847307141739,0.010182036706206432,0.9636001035673695,0.0,0.010182036706206432
hermite(good),omega=2.0,2.0,Principal Components (kDMD),7,4,1.7139767013569195e-05,52.26964994734317,3.2791049932103855e-07,0.5514667886428835,0.010182036706206432,0.908542767229586,0.0,0.010182036706206432
hermite(good),omega=2.0,2.0,Principal Components (kDMD),7,5,3.678005071539291e-05,112.16490716689022,3.2791049932103855e-07,0.6057034878812215,0.010182036706206432,0.8517291189707827,0.0,0.010182036706206432
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),7,1,0.2234812660286908,7.939656498221657,0.028147472888625177,0.08512742352906885,0.011094316585475217,0.9999446745793171,0.0,0.011094316585475217
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),7,2,0.20951902008190879,7.443617439865396,0.028147472888625177,0.48496033852486425,0.011094316585475217,0.9888503579938419,0.0,0.011094316585475217
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),7,3,0.2121332294994913,7.536492897208459,0.028147472888625177,0.4861248488777502,0.011094316585475217,0.9639455499529215,0.0,0.011094316585475217
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),7,4,0.21574778808260964,7.664907927482066,0.028147472888625177,0.5863911655919951,0.011094316585475217,0.9235331747874387,0.0,0.011094316585475217
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),7,5,0.29465769248914436,10.468353363552577,0.028147472888625177,0.6255601864385434,0.011094316585475217,0.8675996336752689,0.0,0.011094316585475217
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),7,1,0.0,9.501834373612658,0.0,0.6482224267183516,0.9220304523007854,0.9220304539725794,0.0,0.9220304523007854
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),7,2,,,0.0,,0.9220304523007854,1.671794081019598e-09,0.0,0.9220304523007854
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),7,3,0.0,0.0,0.0,0.999709488099409,0.9220304523007854,-1.1026535941232358e-09,0.0,0.9220304523007854
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),7,4,,,0.0,,0.9220304523007854,2.394845857903282e-11,4.2004749243235607e-10,0.9220304523007854
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),7,5,,,0.0,,0.9220304523007854,2.394845857903282e-11,-4.2004749243235607e-10,0.9220304523007854
hermite(good),omega=2.0,2.0,Principal Components (kDMD),8,1,9.687088075033299e-07,6.6862228169330855,1.448813229870297e-07,0.0011953184257533032,0.012275542145901985,1.0000000002300837,0.0,0.012275542145901985
hermite(good),omega=2.0,2.0,Principal Components (kDMD),8,2,3.7694819023019248e-06,26.017721432868075,1.448813229870297e-07,0.3810231500475172,0.012275542145901985,0.9877244580841817,0.0,0.012275542145901985
hermite(good),omega=2.0,2.0,Principal Components (kDMD),8,3,9.735177477349868e-06,67.19415088597304,1.448813229870297e-07,0.5641391470491126,0.012275542145901985,0.9611853246531099,0.0,0.012275542145901985
hermite(good),omega=2.0,2.0,Principal Components (kDMD),8,4,1.0681697412383308e-05,73.72722164705503,1.448813229870297e-07,0.5678942427318745,0.012275542145901985,0.8851536030439582,0.0,0.012275542145901985
hermite(good),omega=2.0,2.0,Principal Components (kDMD),8,5,1.9144106092197576e-05,132.13646657486296,1.448813229870297e-07,0.645902538784405,0.012275542145901985,0.7730496235471396,0.0,0.012275542145901985
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),8,1,0.06850817018068753,7.905543209557781,0.008665839698132487,0.21625860498949365,0.01255009821447528,0.9999519675819087,0.0,0.01255009821447528
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),8,2,0.06849751086242671,7.904313170850381,0.008665839698132487,0.4334058744144337,0.01255009821447528,0.9874018693674335,0.0,0.01255009821447528
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),8,3,0.06553883759882326,7.562895216368594,0.008665839698132487,0.5437369179489064,0.01255009821447528,0.9615077114289055,0.0,0.01255009821447528
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),8,4,0.07175641498325448,8.280376453157585,0.008665839698132487,0.5808713859891249,0.01255009821447528,0.9158169540192379,0.0,0.01255009821447528
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),8,5,0.10267212475384434,11.847914146850705,0.008665839698132487,0.6346746953120578,0.01255009821447528,0.8040368271910071,0.0,0.01255009821447528
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),8,1,0.0,9.65364010812419,0.0,0.6434035526644178,0.9191438538491086,0.9191438555477777,0.0,0.9191438538491086
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),8,2,,,0.0,,0.9191438538491086,1.698669061070465e-09,0.0,0.9191438538491086
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),8,3,0.0,0.0,0.0,1.002965901505673,0.9191438538491086,-1.0628003120204673e-09,1.1994039333319581e-09,0.9191438538491086
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),8,4,0.0,0.0,0.0,1.002965901505673,0.9191438538491086,-1.0628003120204673e-09,-1.1994039333319581e-09,0.9191438538491086
hermite(ugly),omega=2.0,2.0,Principal Components (kDMD),8,5,,,0.0,,0.9191438538491086,6.247810925648958e-10,0.0,0.9191438538491086
hermite(good),omega=2.0,2.0,Principal Components (kDMD),9,1,2.2036233508887304e-06,6.686629042969637,3.295566924272005e-07,0.00014948198842402319,0.01327319719625819,0.9999999998418784,0.0,0.01327319719625819
hermite(good),omega=2.0,2.0,Principal Components (kDMD),9,2,6.2623342267107144e-06,19.002297239325742,3.295566924272005e-07,0.39668275123148056,0.01327319719625819,0.9867268026456202,0.0,0.01327319719625819
hermite(good),omega=2.0,2.0,Principal Components (kDMD),9,3,1.8651162889027887e-05,56.59470227007437,3.295566924272005e-07,0.5821879277869159,0.01327319719625819,0.9561975346984734,0.0,0.01327319719625819
hermite(good),omega=2.0,2.0,Principal Components (kDMD),9,4,1.8398847178662304e-05,55.829080705823124,3.295566924272005e-07,0.6633435962378146,0.01327319719625819,0.9026251761710998,0.0,0.01327319719625819
hermite(good),omega=2.0,2.0,Principal Components (kDMD),9,5,3.865284478709371e-05,117.2873914421634,3.295566924272005e-07,0.7735122004625845,0.01327319719625819,0.848487605900841,0.0,0.01327319719625819
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),9,1,0.19661135933789542,7.964642707998114,0.024685521566517706,0.05421068823077669,0.014561279823473328,0.9999826028589286,0.0,0.014561279823473328
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),9,2,0.18896107966106182,7.654733125726614,0.024685521566517706,0.4037360046747297,0.014561279823473328,0.9854213230354553,0.0,0.014561279823473328
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),9,3,0.1950537817781832,7.9015459022241235,0.024685521566517706,0.581977608716938,0.014561279823473328,0.956373449645397,0.0,0.014561279823473328
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),9,4,0.2004362388391197,8.119586952984704,0.024685521566517706,0.6319520572654405,0.014561279823473328,0.916967720935044,0.0,0.014561279823473328
hermite(bad),omega=2.0,2.0,Principal Components (kDMD),9,5,0.28826516699516397,11.677499550430946,0.024685521566517706,0.7420851704341703,0.014561279823473328,0.8618130176201539,0.0,0.014561279823473328
