kernel,kind,method,eigenfunction_id,n,bias_mean,bias_std,dist_mean,trunc_mean,spurious_mean,spurious_std
rbf(gamma=0.4834),1.934,Reduced Rank,4,1,0.045930808831441045,,143.555578121735,0.0003199514044135001,0.888028292757265,
rbf(gamma=0.4834),1.934,Reduced Rank,5,1,0.07369208799532724,,230.3227520767146,0.0003199514044135001,0.9823092251434755,
rbf(gamma=0.7533),1.507,Principal Components (kDMD),1,1,0.0005065337589823887,,8.089631958845233,6.261517972131512e-05,0.035434497141358295,
rbf(gamma=0.7533),1.507,Principal Components (kDMD),2,1,0.0006180494878009068,,9.870601514707683,6.261517972131512e-05,0.5458280994455688,
rbf(gamma=0.7533),1.507,Principal Components (kDMD),3,1,0.001259029772700249,,20.10742088905411,6.261517972131512e-05,0.7599442290232734,
rbf(gamma=0.7533),1.507,Principal Components (kDMD),4,1,0.0015181214534392528,,24.24526225423357,6.261517972131512e-05,0.8914923698012442,
rbf(gamma=0.7533),1.507,Principal Components (kDMD),5,1,0.00266451984268165,,42.55389594888615,6.261517972131512e-05,0.9807410911736943,
rbf(gamma=0.7533),1.507,Reduced Rank,1,1,0.08023791612824305,,8.66551655526398,0.00925944986851378,0.010322864840469641,
rbf(gamma=0.7533),1.507,Reduced Rank,2,1,0.5316014850489562,,57.411778517926436,0.00925944986851378,0.5450918659658093,
rbf(gamma=0.7533),1.507,Reduced Rank,3,1,0.9936225370485248,,107.30902495916959,0.00925944986851378,0.75621231587056,
rbf(gamma=0.7533),1.507,Reduced Rank,4,1,1.0605905000954914,,114.54141608368847,0.00925944986851378,0.8416597361253336,
rbf(gamma=0.7533),1.507,Reduced Rank,5,1,1.0837319092587396,,117.04063682486223,0.00925944986851378,0.9711844616695093,
rbf(gamma=0.7917),1.583,Principal Components (kDMD),1,1,0.00045840707075984317,,8.082903684666826,5.6713167525358e-05,0.041262616998176446,
rbf(gamma=0.7917),1.583,Principal Components (kDMD),2,1,0.000568449093736091,,10.023229499250276,5.6713167525358e-05,0.5617923094754211,
