kernel,kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
rbf(gamma=5.0),r=0.0,Reduced Rank,3,1,4,0.9028169430310924,5
rbf(gamma=5.0),r=0.0,Reduced Rank,4,1,3,0.9109399164057292,4
rbf(gamma=5.0),r=0.0,Reduced Rank,5,1,3,0.9005360107184233,5
rbf(gamma=5.0),r=0.0,Reduced Rank,6,1,4,0.8103371001303447,5
rbf(gamma=5.0),r=0.0,Reduced Rank,7,1,3,0.9410021474134908,5
rbf(gamma=5.0),r=0.0,Reduced Rank,8,1,4,0.764633919758358,5
rbf(gamma=5.0),r=0.0,Reduced Rank,9,1,3,0.9391815787387843,5
rbf(gamma=12.5),r=0.0,Reduced Rank,0,0,4,0.9532455360818478,5
rbf(gamma=12.5),r=0.0,Reduced Rank,1,0,4,0.9481148925363055,5
rbf(gamma=12.5),r=0.0,Reduced Rank,2,1,3,0.9400440176843714,5
rbf(gamma=12.5),r=0.0,Reduced Rank,3,0,4,0.943769748415207,5
rbf(gamma=12.5),r=0.0,Reduced Rank,4,0,4,0.9672085776952746,5
rbf(gamma=12.5),r=0.0,Reduced Rank,5,1,4,0.8948553667591341,5
rbf(gamma=12.5),r=0.0,Reduced Rank,6,1,4,0.8961448805010113,5
rbf(gamma=12.5),r=0.0,Reduced Rank,7,0,4,0.9591481067951135,5
rbf(gamma=12.5),r=0.0,Reduced Rank,8,0,4,0.9594613965118801,5
rbf(gamma=12.5),r=0.0,Reduced Rank,9,1,4,0.9398630128866049,5
rbf(gamma=25.0),r=0.0,Reduced Rank,0,0,4,0.9565095159921855,5
rbf(gamma=25.0),r=0.0,Reduced Rank,1,0,4,0.9522471336228743,5
rbf(gamma=25.0),r=0.0,Reduced Rank,2,1,4,0.9343808238806107,5
rbf(gamma=25.0),r=0.0,Reduced Rank,3,1,5,0.9271508890737832,5
rbf(gamma=25.0),r=0.0,Reduced Rank,4,0,5,0.9640529339640085,5
rbf(gamma=25.0),r=0.0,Reduced Rank,5,1,5,0.8946067420502478,5
rbf(gamma=25.0),r=0.0,Reduced Rank,6,1,4,0.8892059640470308,5
rbf(gamma=25.0),r=0.0,Reduced Rank,7,1,4,0.9301067894998479,5
rbf(gamma=25.0),r=0.0,Reduced Rank,8,0,4,0.9499997456430245,5
rbf(gamma=25.0),r=0.0,Reduced Rank,9,1,3,0.9390905473945261,5
rbf(gamma=50.0),r=0.0,Reduced Rank,0,0,4,0.9551711048708096,5
rbf(gamma=50.0),r=0.0,Reduced Rank,1,0,3,0.9458088418841777,5
rbf(gamma=50.0),r=0.0,Reduced Rank,2,1,5,0.927935187178339,5
rbf(gamma=50.0),r=0.0,Reduced Rank,3,1,5,0.9320793661556451,5
rbf(gamma=50.0),r=0.0,Reduced Rank,4,0,5,0.941588691139438,5
rbf(gamma=50.0),r=0.0,Reduced Rank,5,1,5,0.8995037496322673,5
rbf(gamma=50.0),r=0.0,Reduced Rank,6,1,3,0.8925021770114046,5
rbf(gamma=50.0),r=0.0,Reduced Rank,7,1,4,0.9417737601818279,5
rbf(gamma=50.0),r=0.0,Reduced Rank,8,0,5,0.9562567472301674,5
rbf(gamma=50.0),r=0.0,Reduced Rank,9,2,3,0.9306777802663079,5
rbf(gamma=0.5),r=0.5,Principal Components (kDMD),0,0,3,0.9555249999554668,5
rbf(gamma=0.5),r=0.5,Principal Components (kDMD),1,0,4,0.9752425022491826,5
rbf(gamma=0.5),r=0.5,Principal Components (kDMD),2,0,3,0.9631498341483693,5
rbf(gamma=0.5),r=0.5,Principal Components (kDMD),3,0,4,0.93802753383708,5
rbf(gamma=0.5),r=0.5,Principal Components (kDMD),4,0,3,0.974275579232688,5
rbf(gamma=0.5),r=0.5,Principal Components (kDMD),5,0,4,0.9400135234744476,5
rbf(gamma=0.5),r=0.5,Principal Components (kDMD),6,0,4,0.9841470077993206,5
rbf(gamma=0.5),r=0.5,Principal Components (kDMD),7,0,4,0.9776712518861489,5
rbf(gamma=0.5),r=0.5,Principal Components (kDMD),8,0,3,0.9285551664933702,5
rbf(gamma=0.5),r=0.5,Principal Components (kDMD),9,1,4,0.9443740977859876,5
rbf(gamma=1.0),r=0.5,Principal Components (kDMD),0,0,3,0.9609655251577492,5
rbf(gamma=1.0),r=0.5,Principal Components (kDMD),1,0,4,0.9701051081021768,5
rbf(gamma=1.0),r=0.5,Principal Components (kDMD),2,0,3,0.9662047435510653,5
rbf(gamma=1.0),r=0.5,Principal Components (kDMD),3,0,4,0.9369714699236263,5
rbf(gamma=1.0),r=0.5,Principal Components (kDMD),4,0,3,0.9742864413575092,5
rbf(gamma=1.0),r=0.5,Principal Components (kDMD),5,0,4,0.9342711434898698,5
rbf(gamma=1.0),r=0.5,Principal Components (kDMD),6,0,4,0.9844564642513424,5
rbf(gamma=1.0),r=0.5,Principal Components (kDMD),7,0,4,0.9719947437332013,5
rbf(gamma=1.0),r=0.5,Principal Components (kDMD),8,0,3,0.9259132913483009,5
rbf(gamma=1.0),r=0.5,Principal Components (kDMD),9,1,4,0.9447430440409108,5
rbf(gamma=2.5),r=0.5,Principal Components (kDMD),0,0,3,0.9622536278668684,5
rbf(gamma=2.5),r=0.5,Principal Components (kDMD),1,0,4,0.9693516237373245,5
rbf(gamma=2.5),r=0.5,Principal Components (kDMD),2,0,4,0.96728218494046,5
rbf(gamma=2.5),r=0.5,Principal Components (kDMD),3,0,4,0.9370367074988399,5
rbf(gamma=2.5),r=0.5,Principal Components (kDMD),4,0,3,0.97434823350159,5
rbf(gamma=2.5),r=0.5,Principal Components (kDMD),5,1,4,0.9203768295643115,5
rbf(gamma=2.5),r=0.5,Principal Components (kDMD),6,0,4,0.9666615353418003,5
rbf(gamma=2.5),r=0.5,Principal Components (kDMD),7,0,4,0.9715128181560383,5
rbf(gamma=2.5),r=0.5,Principal Components (kDMD),8,0,3,0.9249971059069331,5
rbf(gamma=2.5),r=0.5,Principal Components (kDMD),9,1,4,0.944880151301714,5
rbf(gamma=5.0),r=0.5,Principal Components (kDMD),0,0,3,0.961835825821366,5
rbf(gamma=5.0),r=0.5,Principal Components (kDMD),1,0,4,0.9696091154765111,5
rbf(gamma=5.0),r=0.5,Principal Components (kDMD),2,0,4,0.9677614086229296,5
rbf(gamma=5.0),r=0.5,Principal Components (kDMD),3,0,4,0.9372906306641637,5
rbf(gamma=5.0),r=0.5,Principal Components (kDMD),4,0,3,0.9744107049715687,5
rbf(gamma=5.0),r=0.5,Principal Components (kDMD),5,1,4,0.9195247235027242,5
rbf(gamma=5.0),r=0.5,Principal Components (kDMD),6,0,4,0.9620867661249125,5
rbf(gamma=5.0),r=0.5,Principal Components (kDMD),7,0,4,0.9716269102101907,5
rbf(gamma=5.0),r=0.5,Principal Components (kDMD),8,1,4,0.9247947280482186,5
rbf(gamma=5.0),r=0.5,Principal Components (kDMD),9,1,4,0.9449258038055883,5
rbf(gamma=12.5),r=0.5,Principal Components (kDMD),0,0,4,0.9604000152327263,5
rbf(gamma=12.5),r=0.5,Principal Components (kDMD),1,0,4,0.9697935747065077,5
rbf(gamma=12.5),r=0.5,Principal Components (kDMD),2,0,5,0.9680363385378183,5
rbf(gamma=12.5),r=0.5,Principal Components (kDMD),3,0,4,0.9376754750927886,5
rbf(gamma=12.5),r=0.5,Principal Components (kDMD),4,0,3,0.9743096283955343,5
rbf(gamma=12.5),r=0.5,Principal Components (kDMD),5,1,4,0.9204338983773315,5
rbf(gamma=12.5),r=0.5,Principal Components (kDMD),6,0,4,0.9616547761289707,5
rbf(gamma=12.5),r=0.5,Principal Components (kDMD),7,0,4,0.9720256711400608,5
rbf(gamma=12.5),r=0.5,Principal Components (kDMD),8,1,5,0.9243844275509234,5
rbf(gamma=12.5),r=0.5,Principal Components (kDMD),9,1,4,0.9450289868749334,5
rbf(gamma=25.0),r=0.5,Principal Components (kDMD),0,0,4,0.958165542733524,5
rbf(gamma=25.0),r=0.5,Principal Components (kDMD),1,0,4,0.9705503001315697,5
rbf(gamma=25.0),r=0.5,Principal Components (kDMD),2,0,5,0.9663861681440162,5
rbf(gamma=25.0),r=0.5,Principal Components (kDMD),3,0,5,0.9377803759424518,5
rbf(gamma=25.0),r=0.5,Principal Components (kDMD),4,0,4,0.9740381741503933,5
rbf(gamma=25.0),r=0.5,Principal Components (kDMD),5,1,5,0.9215883687096558,5
rbf(gamma=25.0),r=0.5,Principal Components (kDMD),6,0,4,0.9615517820377578,5
rbf(gamma=25.0),r=0.5,Principal Components (kDMD),7,0,3,0.9728122508868068,5
rbf(gamma=25.0),r=0.5,Principal Components (kDMD),8,1,5,0.9239914935386541,5
rbf(gamma=25.0),r=0.5,Principal Components (kDMD),9,1,4,0.9451635582491332,5
rbf(gamma=50.0),r=0.5,Principal Components (kDMD),0,0,3,0.9546210339181187,5
rbf(gamma=50.0),r=0.5,Principal Components (kDMD),1,0,4,0.9714094649752827,5
rbf(gamma=50.0),r=0.5,Principal Components (kDMD),2,0,4,0.9636494032688379,5
rbf(gamma=50.0),r=0.5,Principal Components (kDMD),3,0,4,0.9380418702292241,5
rbf(gamma=50.0),r=0.5,Principal Components (kDMD),4,0,4,0.9736367054700299,5
rbf(gamma=50.0),r=0.5,Principal Components (kDMD),5,1,5,0.9218613775821294,5
rbf(gamma=50.0),r=0.5,Principal Components (kDMD),6,0,4,0.9612624804886355,5
rbf(gamma=50.0),r=0.5,Principal Components (kDMD),7,0,3,0.9745145479310212,5
rbf(gamma=50.0),r=0.5,Principal Components (kDMD),8,1,5,0.9239322014956379,5
rbf(gamma=50.0),r=0.5,Principal Components (kDMD),9,1,5,0.9453928356389446,5
rbf(gamma=0.5),r=0.5,Reduced Rank,0,0,3,0.9678101575537602,5
rbf(gamma=0.5),r=0.5,Reduced Rank,1,0,4,0.9605636681831965,5
rbf(gamma=0.5),r=0.5,Reduced Rank,2,0,2,0.9652685320734897,4
rbf(gamma=0.5),r=0.5,Reduced Rank,3,0,3,0.9372085969921562,5
rbf(gamma=0.5),r=0.5,Reduced Rank,4,0,4,0.9520217761424914,5
rbf(gamma=0.5),r=0.5,Reduced Rank,5,0,3,0.9733892099956863,5
rbf(gamma=0.5),r=0.5,Reduced Rank,6,0,3,0.9826613990810268,5
rbf(gamma=0.5),r=0.5,Reduced Rank,7,0,3,0.9593305786528056,5
rbf(gamma=0.5),r=0.5,Reduced Rank,8,0,3,0.936385784342377,5
rbf(gamma=0.5),r=0.5,Reduced Rank,9,2,3,0.903656455714779,5
rbf(gamma=1.0),r=0.5,Reduced Rank,0,1,4,0.924014002546961,5
rbf(gamma=1.0),r=0.5,Reduced Rank,1,1,3,0.9054144607274649,5
rbf(gamma=1.0),r=0.5,Reduced Rank,2,0,3,0.9622082027278231,5
rbf(gamma=1.0),r=0.5,Reduced Rank,3,0,3,0.9555703735199192,5
rbf(gamma=1.0),r=0.5,Reduced Rank,4,0,4,0.9805767748964094,5
rbf(gamma=1.0),r=0.5,Reduced Rank,5,0,4,0.9507466256697223,5
rbf(gamma=1.0),r=0.5,Reduced Rank,6,0,3,0.96709873817658,5
rbf(gamma=1.0),r=0.5,Reduced Rank,7,0,3,0.9812097419031571,5
rbf(gamma=1.0),r=0.5,Reduced Rank,8,0,5,0.9322322632337419,5
rbf(gamma=1.0),r=0.5,Reduced Rank,9,2,3,0.8640877820122308,5
rbf(gamma=2.5),r=0.5,Reduced Rank,0,0,4,0.9526790653715633,5
rbf(gamma=2.5),r=0.5,Reduced Rank,1,0,4,0.9571297373469272,5
rbf(gamma=2.5),r=0.5,Reduced Rank,2,0,2,0.9683912429825535,5
rbf(gamma=2.5),r=0.5,Reduced Rank,3,1,3,0.9248149693984788,5
rbf(gamma=2.5),r=0.5,Reduced Rank,4,0,4,0.971566427509475,5
rbf(gamma=2.5),r=0.5,Reduced Rank,5,1,4,0.8942092905440282,5
rbf(gamma=2.5),r=0.5,Reduced Rank,6,0,4,0.9699604906343339,5
rbf(gamma=2.5),r=0.5,Reduced Rank,7,0,2,0.9701547523237847,4
rbf(gamma=2.5),r=0.5,Reduced Rank,8,1,4,0.9233133473610265,5
rbf(gamma=2.5),r=0.5,Reduced Rank,9,0,4,0.9532420484029511,5
rbf(gamma=5.0),r=0.5,Reduced Rank,0,0,4,0.9483784433283604,5
rbf(gamma=5.0),r=0.5,Reduced Rank,1,0,4,0.9603171385869221,5
rbf(gamma=5.0),r=0.5,Reduced Rank,2,0,4,0.9469154349524306,5
rbf(gamma=5.0),r=0.5,Reduced Rank,3,1,4,0.9420538290412774,5
rbf(gamma=5.0),r=0.5,Reduced Rank,4,0,4,0.9593078645265447,5
rbf(gamma=5.0),r=0.5,Reduced Rank,5,1,3,0.9167616266817076,5
rbf(gamma=5.0),r=0.5,Reduced Rank,6,0,4,0.9597489169461084,5
rbf(gamma=5.0),r=0.5,Reduced Rank,7,0,3,0.9676540066984298,5
rbf(gamma=5.0),r=0.5,Reduced Rank,8,0,4,0.938714046973056,5
rbf(gamma=5.0),r=0.5,Reduced Rank,9,1,3,0.9323430698163133,5
rbf(gamma=12.5),r=0.5,Reduced Rank,0,1,4,0.9150735476132781,5
rbf(gamma=12.5),r=0.5,Reduced Rank,1,0,3,0.9616044843023728,5
rbf(gamma=12.5),r=0.5,Reduced Rank,2,0,4,0.9733514363413266,5
rbf(gamma=12.5),r=0.5,Reduced Rank,3,0,5,0.9330609729418339,5
rbf(gamma=12.5),r=0.5,Reduced Rank,4,0,5,0.9820218964971574,5
rbf(gamma=12.5),r=0.5,Reduced Rank,5,1,5,0.8782555418239268,5
rbf(gamma=12.5),r=0.5,Reduced Rank,6,0,3,0.9603635278859725,5
rbf(gamma=12.5),r=0.5,Reduced Rank,7,0,3,0.9427002924914278,5
rbf(gamma=12.5),r=0.5,Reduced Rank,8,2,5,0.9111479515785764,5
rbf(gamma=12.5),r=0.5,Reduced Rank,9,1,4,0.9419065087589568,5
rbf(gamma=25.0),r=0.5,Reduced Rank,0,1,4,0.9223142492464411,5
rbf(gamma=25.0),r=0.5,Reduced Rank,1,1,4,0.8795716456040636,5
rbf(gamma=25.0),r=0.5,Reduced Rank,2,0,5,0.9663029769778984,5
rbf(gamma=25.0),r=0.5,Reduced Rank,3,1,3,0.9372431134846396,5
rbf(gamma=25.0),r=0.5,Reduced Rank,4,0,4,0.9774420494671989,4
rbf(gamma=25.0),r=0.5,Reduced Rank,5,1,3,0.8662437400234901,5
rbf(gamma=25.0),r=0.5,Reduced Rank,6,0,4,0.9503556471363171,5
rbf(gamma=25.0),r=0.5,Reduced Rank,7,0,3,0.9812196924988238,5
rbf(gamma=25.0),r=0.5,Reduced Rank,8,2,4,0.9146503325078138,5
rbf(gamma=25.0),r=0.5,Reduced Rank,9,0,4,0.9484756049225959,5
rbf(gamma=50.0),r=0.5,Reduced Rank,0,1,4,0.9474409653912744,5
rbf(gamma=50.0),r=0.5,Reduced Rank,1,0,4,0.9502005705742032,5
rbf(gamma=50.0),r=0.5,Reduced Rank,2,0,5,0.9585071171982306,5
rbf(gamma=50.0),r=0.5,Reduced Rank,3,0,4,0.9291678500540586,5
rbf(gamma=50.0),r=0.5,Reduced Rank,4,0,5,0.9569314026119099,5
rbf(gamma=50.0),r=0.5,Reduced Rank,5,1,5,0.8392866986769403,5
rbf(gamma=50.0),r=0.5,Reduced Rank,6,0,4,0.9659109441378729,5
rbf(gamma=50.0),r=0.5,Reduced Rank,7,1,4,0.9375945767337092,5
rbf(gamma=50.0),r=0.5,Reduced Rank,8,2,5,0.8895796471213511,5
rbf(gamma=50.0),r=0.5,Reduced Rank,9,0,4,0.9339681359215601,5
rbf(gamma=0.5),r=1.2,Principal Components (kDMD),0,0,4,0.9668787516942929,5
rbf(gamma=0.5),r=1.2,Principal Components (kDMD),1,0,4,0.952222263688438,5
rbf(gamma=0.5),r=1.2,Principal Components (kDMD),2,0,4,0.968437645615015,5
rbf(gamma=0.5),r=1.2,Principal Components (kDMD),3,0,4,0.9521318370977986,5
rbf(gamma=0.5),r=1.2,Principal Components (kDMD),4,0,4,0.9523585663502012,5
rbf(gamma=0.5),r=1.2,Principal Components (kDMD),5,1,4,0.9368465098331825,5
rbf(gamma=0.5),r=1.2,Principal Components (kDMD),6,0,4,0.9576963845257795,5
rbf(gamma=0.5),r=1.2,Principal Components (kDMD),7,1,4,0.915419162775088,5
rbf(gamma=0.5),r=1.2,Principal Components (kDMD),8,0,3,0.9624753223663032,5
rbf(gamma=0.5),r=1.2,Principal Components (kDMD),9,0,4,0.9728097310774008,5
rbf(gamma=1.0),r=1.2,Principal Components (kDMD),0,0,4,0.966308684193223,5
rbf(gamma=1.0),r=1.2,Principal Components (kDMD),1,0,4,0.9524205862156555,5
rbf(gamma=1.0),r=1.2,Principal Components (kDMD),2,0,4,0.9680293239531372,5
rbf(gamma=1.0),r=1.2,Principal Components (kDMD),3,0,4,0.9519521267450166,5
rbf(gamma=1.0),r=1.2,Principal Components (kDMD),4,0,4,0.9520274651606278,5
rbf(gamma=1.0),r=1.2,Principal Components (kDMD),5,1,4,0.9206005597798655,5
rbf(gamma=1.0),r=1.2,Principal Components (kDMD),6,0,4,0.9532097861298493,5
rbf(gamma=1.0),r=1.2,Principal Components (kDMD),7,1,4,0.9154305394579254,5
rbf(gamma=1.0),r=1.2,Principal Components (kDMD),8,0,4,0.9617639873494608,5
rbf(gamma=1.0),r=1.2,Principal Components (kDMD),9,0,4,0.9712116594402924,5
rbf(gamma=2.5),r=1.2,Principal Components (kDMD),0,0,4,0.9664370253320028,5
