kernel,kind,method,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,agg_horizon_instab,agg_horizon_sens,system,family,agg_bias_mean_z,agg_dist_mean_z,agg_spurious_mean_z,agg_trunc_mean_z,agg_bias_std_z,agg_spurious_std_z,mean_spurious_ref_count_z,mean_spurious_residual_count_z,mean_spectral_gap_z,agg_horizon_instab_z,agg_horizon_sens_z,score_ssl_only,rank_score_ssl_only
encoder(d=4),omega=3.0,SSL+CCA,98.52870185078517,28.000189055927596,98.5794606029848,0.9995041694859262,0.0910350949303022,0.0169840946323315,,2.0,0.0029925517727748,1.5622361000389162e-06,0.10674184366299705,duffing,ssl_encoder,1.3394178664043246,1.255583680136524,-0.08652620105031389,1.4135934589570525,0.6063000231630521,-0.6224353430517167,0.0,0.8164965809277264,1.2798345603631416,-0.05055555352339764,0.8921879481198514,5.5092845007026465,9
encoder(d=4),omega=3.0,SSL+Ridge (PCR),2.728869863337423e-05,3.139712887581728e-05,46.14979533144491,5.560096587953462e-07,0.1199413657968472,0.04818583412130699,,1.6666666666666667,0.008903535048461366,0.0,0.075313442122791,duffing,ssl_encoder,-0.6962417502346387,-0.4639111939265816,1.4345392011981082,-0.7104485237948518,-0.604056800083198,1.8257375077811524,0.0,-0.4082482904638624,-0.7607548036698781,-0.612944405228004,-0.19710993479734737,-1.374097860260202,2
encoder(d=4),omega=3.0,SSL+Ridge (RRR),0.010078680481168851,0.013113612479629201,46.19372768656312,0.0002034616762219,0.12003825236800832,0.048303875661626375,,1.6666666666666667,0.0089105410053741,0.0,0.07535242946074006,duffing,ssl_encoder,-0.6960340826451409,-0.4624703787117592,1.4396374309910847,-0.7100173296015467,-0.6034912979597488,1.8349993662228112,0.0,-0.4082482904638624,-0.7631733997805799,-0.612944405228004,-0.19575864670736415,-1.3645367203903436,3
encoder(d=8),omega=0.5,SSL+CCA,45.706189047794496,10.626624043598422,45.70877644113316,0.999949258696765,0.0940120224745906,0.0180077041092138,,2.0,0.0003196261552605,0.0,0.03466270709094631,duffing,ssl_encoder,1.6666131327001854,1.6775672455700112,-1.0497564485785211,1.4122098573742943,1.2756480021889027,-0.7718723817479763,0.0,-0.7071067811865495,0.6556473209086767,-0.7387628424217274,-1.1673079488016145,0.8411188515335015,6
encoder(d=8),omega=0.5,SSL+Ridge (PCR),0.0100840511515987,0.00429607690040245,17.852031785127956,0.0005646767566182,0.11814298994331776,0.026903044809949803,,2.6666666666666665,0.0008378997882820667,8.66788560014431e-05,0.0506173791485136,duffing,ssl_encoder,-0.718128464416867,-0.6799374114589056,0.7347551283090227,-0.7496275936406133,-0.7217845273868169,0.18701937002398245,0.0,1.4142135623730931,-0.48632760976143496,1.8816227434346553,-0.404067095589517,1.476789571609749,9
encoder(d=8),omega=0.5,SSL+Ridge (RRR),0.42545405055842456,0.1262968770686393,18.5644335895009,0.0228417622585493,0.1182572085931537,0.0268306525142832,,2.6666666666666665,0.0008443478437734666,8.245069590473442e-05,0.05060550536663623,duffing,ssl_encoder,-0.6964515596598265,-0.6196471445154935,0.7432017230505239,-0.7014384994642333,-0.6988433823144476,0.17921569194779596,0.0,1.4142135623730931,-0.5005353896938594,1.7538013774959529,-0.4046351144982253,1.4595889770753154,8
encoder(d=8),omega=1.5,SSL+CCA,65.0014905266971,22.96968602321246,65.00380923160718,0.9999599153858012,0.07646278109031399,0.02844196685759005,,1.3333333333333333,0.0007169698741255334,8.020120610519044e-06,0.02431499375549899,duffing,ssl_encoder,1.5841881262127224,1.5385630535702344,-1.302647000357329,1.4123700873951952,0.880249249995248,-0.9098926593915057,0.0,-1.178511301977579,0.4786456038008385,2.69369779563606,-1.638989026780405,2.634398639552656,8
encoder(d=8),omega=1.5,SSL+Ridge (PCR),0.0079958246908157,0.00570314360237135,18.775332032917863,0.000665037577135,0.1033676641457379,0.0302210595120057,,2.3333333333333335,0.0009871556623700334,0.0,0.19499001657648823,duffing,ssl_encoder,-0.7109458552358121,-0.8850315408088576,0.5156967699188937,-0.7488373554533257,-0.6369676506736025,-0.6443876623169161,0.0,0.9428090415820637,0.29610246914165184,-0.45896716950557476,0.9406393612751058,-0.20250566417764793,4
encoder(d=8),omega=1.5,SSL+Ridge (RRR),0.40149222008721996,0.1127004138543945,20.646258513778328,0.0231104119611455,0.1033223018212404,0.030373322720580596,,2.3333333333333335,0.0010022726286727,0.0,0.19523653875541802,duffing,ssl_encoder,-0.6970502037895772,-0.7869455215353809,0.5126309955765421,-0.7002940162913962,-0.6298984036878829,-0.6216644822470597,0.0,0.9428090415820637,0.28588913248410375,-0.45896716950557476,0.9443653640641582,-0.06325065699515064,5
encoder(d=8),omega=3.0,SSL+CCA,120.88678415358743,71.4489330104388,120.89997228751363,0.9998799187298396,0.06250461122051679,0.012851072125212009,,1.3333333333333333,0.0031975512437315,1.1734007010488767e-07,0.042637734575450364,duffing,ssl_encoder,1.8013488266206334,1.987612107730675,-1.5878174565263874,1.414391962492506,2.484449580306584,-0.946723464788848,0.0,-1.632993161855452,1.209064652793398,-0.5707031925946626,-1.329639026631851,0.36396793326534116,8
