family,system,kind,kernel,method,agg_bias_mean,agg_dist_mean,agg_spurious_mean,agg_trunc_mean,agg_bias_std,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,agg_horizon_instab,agg_horizon_sens,agg_bias_mean_z,agg_dist_mean_z,agg_spurious_mean_z,agg_trunc_mean_z,agg_bias_std_z,agg_spurious_std_z,mean_spurious_ref_count_z,mean_spurious_residual_count_z,mean_spectral_gap_z,agg_horizon_instab_z,agg_horizon_sens_z,score_vs_analytic,rank_score_vs_analytic
rbf,duffing,omega=0.5,rbf(gamma=4.198939329598638),PCR,0.4241930984831048,10.414978873966904,0.1420904335831962,0.0407291367189817,,,,5.0,0.000315852960915,0.0002078375332864,0.0,-0.37909819318523785,-0.22697783882968095,0.11667932370716975,-0.4230654531693623,0.0,0.0,0.0,1.121289792076645,0.10788702239250304,-0.11062993342688397,-0.08980265101338747,0.2738712839401948,92
rbf,duffing,omega=0.5,rbf(gamma=4.258230433164061),PCR,0.4042141283031694,10.401072663752869,0.1674416907320589,0.0388627347746384,,,,5.0,0.0003956222332685,0.0001785174121018,0.0,-0.3793484693896414,-0.22709088458065166,0.3021350416029116,-0.42442485018855897,0.0,0.0,0.0,1.121289792076645,0.10770838529450431,-0.11079336933607967,-0.08980265101338747,0.458031226912769,99
rbf,duffing,omega=0.5,rbf(gamma=2.099469664799319),PCR,0.4131218270324626,11.408640234463824,0.1460991713767186,0.0362113116499617,,,,5.0,0.0004995902545051,0.0001426305703009,0.0,-0.3792368828059557,-0.2189002107067711,0.14600502305959187,-0.42635601871484496,0.0,0.0,0.0,1.121289792076645,0.10747555697539829,-0.11099340938983539,-0.08980265101338747,0.30892143035056374,94
rbf,duffing,omega=0.5,rbf(gamma=2.1123216061678978),PCR,0.4121901202462313,11.95496859366474,0.1428703668315382,0.0344785615300287,,,,5.0,0.000370960373579,9.34863449570944e-05,0.0,-0.37924855428030974,-0.2144590222958445,0.12238488219812262,-0.42761807020122966,0.0,0.0,0.0,1.121289792076645,0.10776361361634058,-0.11126734861062558,-0.08980265101338747,0.2889698697821556,93
rbf,duffing,omega=0.5,rbf(gamma=4.137965701786939),PCR,0.393158259071962,10.123190410586178,0.1774954850318191,0.0388373865477056,,,,5.0,0.0004531967505119,0.0002412237642773,0.0,-0.37948696606703003,-0.22934983274173779,0.37568301709342083,-0.4244433126126037,0.0,0.0,0.0,1.121289792076645,0.10757945162900139,-0.11044383225143994,-0.08980265101338747,0.5294575966046694,100
rbf,duffing,omega=0.5,rbf(gamma=4.2246432123357955),PCR,0.4143116937093644,10.609515964701105,0.1588181798921377,0.0390509515314195,,,,5.0,0.0003354991030957,0.0002150310953997,0.0,-0.3792219773672389,-0.2253964164884944,0.23905022556367853,-0.42428776219478226,0.0,0.0,0.0,1.121289792076645,0.10784302638097522,-0.11058983514908557,-0.08980265101338747,0.39710676971521364,96
rbf,duffing,omega=0.5,rbf(gamma=27.78746075104152),PCR,0.3627592308710043,10.543689969643452,0.2134346658773078,0.0344053392991857,,,,5.0,0.0,0.0004454493411719,0.0,-0.3798677741530911,-0.22593152626536073,0.6385941045060627,-0.42767140173715557,0.0,0.0,0.0,1.121289792076645,0.10859435059880936,-0.1093054402021494,-0.08980265101338747,0.7954379793795459,103
hermite,duffing,omega=0.5,hermite(bad),Reduced Rank,0.2155517647694202,408.88707263394303,0.1592743128019136,0.0528803267945566,0.1200062390702739,0.170012666392528,,2.3,0.0351915159745244,0.0258975101871881,9.28414915582588,-0.38171183946496406,3.0122639378060767,0.24238704060766764,-0.4142151132849162,-0.3852792408545054,3.6084610215788677,0.0,-1.4850139601676229,0.029785680262617256,0.0325691679920904,-0.08980265101338747,1.9442724244298017,111
hermite,duffing,omega=0.5,hermite(ugly),Reduced Rank,0.0,0.0,1.4715373581954394,1.1112875817595878e-15,,,,1.4,4.891724412837592,1.9493257736602212,3.071327922045793e+33,-0.3844120525917221,-0.3116428259132032,9.842174685159518,-0.452730588923236,0.0,0.0,0.0,-2.3537818775823784,-10.84604303717092,10.754122637509123,11.135528725660047,23.03260247919431,125
hermite,duffing,omega=0.5,hermite(good),Reduced Rank,0.2310070150055955,1340.1289897805916,0.5575231719816592,0.0001778835430996,0.1201538321395908,0.1331837461818688,,4.0,1.042643773319368,0.5222045314140539,844557151292449.2,-0.3815182318199063,10.582474673800128,3.1557545176778667,-0.4526010271431569,-0.3852403065371798,2.648120290611518,0.0,0.15599210606024946,-2.2263255053429742,2.7990785130156413,-0.08980265101338747,15.448235657496111,124
linear,duffing,omega=0.5,linear,Reduced Rank,3.531960648278825e-16,0.2360530213221763,0.3045482089585969,1.4911097043576772e-15,,,,1.0,0.0,0.0007890009988402,0.0687681110951242,-0.3844120525917221,-0.3097239140994477,1.305130183681258,-0.45273058892323575,0.0,0.0,0.0,-2.7399009519889366,0.10859435059880936,-0.10739041818797719,-0.08980265101338747,-2.498167923362426,16
