system,kind,kernel,trial,final_train_loss,final_val_loss,method,latent_norm_mean,latent_norm_std,latent_cov_rank,operator_rank
linear,A=rev,encoder(d=16),0,-3.0161905884742737,-2.109086513519287,SSL+CCA,1.8558047162769262,0.785379083267118,16,3
linear,A=rev,encoder(d=16),1,-2.865379750728607,-1.8838930130004883,SSL+Ridge (PCR),1.814543262458323,1.1384198105937864,15,3
linear,A=rev,encoder(d=16),1,-2.865379750728607,-1.8838930130004883,SSL+Ridge (RRR),1.814543262458323,1.1384198105937864,15,3
linear,A=rev,encoder(d=16),1,-2.865379750728607,-1.8838930130004883,SSL+CCA,1.814543262458323,1.1384198105937864,15,3
linear,A=rev,encoder(d=16),2,-2.909280300140381,-2.032210111618042,SSL+Ridge (PCR),1.708424963257747,0.8654820063289125,16,3
linear,A=rev,encoder(d=16),2,-2.909280300140381,-2.032210111618042,SSL+Ridge (RRR),1.708424963257747,0.8654820063289125,16,3
linear,A=rev,encoder(d=16),2,-2.909280300140381,-2.032210111618042,SSL+CCA,1.708424963257747,0.8654820063289125,16,3
linear,A=rot,encoder(d=4),0,-0.9608007818460464,-0.9318959712982178,SSL+Ridge (PCR),0.9540771862812386,0.8267237916965307,4,3
linear,A=rot,encoder(d=4),0,-0.9608007818460464,-0.9318959712982178,SSL+Ridge (RRR),0.9540771862812386,0.8267237916965307,4,3
linear,A=rot,encoder(d=4),0,-0.9608007818460464,-0.9318959712982178,SSL+CCA,0.9540771862812386,0.8267237916965307,4,3
linear,A=rot,encoder(d=4),1,-1.8764738738536835,-1.6375362873077393,SSL+Ridge (PCR),1.420770312748466,1.0124178400121258,4,3
linear,A=rot,encoder(d=4),1,-1.8764738738536835,-1.6375362873077393,SSL+Ridge (RRR),1.420770312748466,1.0124178400121258,4,3
linear,A=rot,encoder(d=4),1,-1.8764738738536835,-1.6375362873077393,SSL+CCA,1.420770312748466,1.0124178400121258,4,3
linear,A=rot,encoder(d=4),2,-1.8378263413906097,-1.387323260307312,SSL+Ridge (PCR),1.7168571764281235,1.2168827931894228,4,3
linear,A=rot,encoder(d=4),2,-1.8378263413906097,-1.387323260307312,SSL+Ridge (RRR),1.7168571764281235,1.2168827931894228,4,3
linear,A=rot,encoder(d=4),2,-1.8378263413906097,-1.387323260307312,SSL+CCA,1.7168571764281235,1.2168827931894228,4,3
linear,A=rot,encoder(d=8),0,-2.8573506474494934,-2.46044921875,SSL+Ridge (PCR),1.9390042212380423,0.9742196559662449,8,3
linear,A=rot,encoder(d=8),0,-2.8573506474494934,-2.46044921875,SSL+Ridge (RRR),1.9390042212380423,0.9742196559662449,8,3
linear,A=rot,encoder(d=8),0,-2.8573506474494934,-2.46044921875,SSL+CCA,1.9390042212380423,0.9742196559662449,8,3
linear,A=rot,encoder(d=8),1,-2.853810131549835,-2.382706880569458,SSL+Ridge (PCR),1.7767072952947114,1.2045086505184104,8,3
linear,A=rot,encoder(d=8),1,-2.853810131549835,-2.382706880569458,SSL+Ridge (RRR),1.7767072952947114,1.2045086505184104,8,3
linear,A=rot,encoder(d=8),1,-2.853810131549835,-2.382706880569458,SSL+CCA,1.7767072952947114,1.2045086505184104,8,3
linear,A=rot,encoder(d=8),2,-1.9690021872520447,-1.5778279304504395,SSL+Ridge (PCR),1.4125669530096294,0.7235110802041567,8,3
linear,A=rot,encoder(d=8),2,-1.9690021872520447,-1.5778279304504395,SSL+Ridge (RRR),1.4125669530096294,0.7235110802041567,8,3
linear,A=rot,encoder(d=8),2,-1.9690021872520447,-1.5778279304504395,SSL+CCA,1.4125669530096294,0.7235110802041567,8,3
linear,A=rot,encoder(d=16),0,-3.4243847131729126,-3.0073366165161133,SSL+Ridge (PCR),2.06465824026137,0.9793973026370412,16,3
linear,A=rot,encoder(d=16),0,-3.4243847131729126,-3.0073366165161133,SSL+Ridge (RRR),2.06465824026137,0.9793973026370412,16,3
linear,A=rot,encoder(d=16),0,-3.4243847131729126,-3.0073366165161133,SSL+CCA,2.06465824026137,0.9793973026370412,16,3
linear,A=rot,encoder(d=16),1,-2.9058475494384766,-2.3421645164489746,SSL+Ridge (PCR),1.726476967250656,1.052280507840654,16,3
linear,A=rot,encoder(d=16),1,-2.9058475494384766,-2.3421645164489746,SSL+Ridge (RRR),1.726476967250656,1.052280507840654,16,3
linear,A=rot,encoder(d=16),1,-2.9058475494384766,-2.3421645164489746,SSL+CCA,1.726476967250656,1.052280507840654,16,3
linear,A=rot,encoder(d=16),2,-2.9225757718086243,-2.399057388305664,SSL+Ridge (PCR),1.7760563675659589,0.7445107216753161,16,3
linear,A=rot,encoder(d=16),2,-2.9225757718086243,-2.399057388305664,SSL+Ridge (RRR),1.7760563675659589,0.7445107216753161,16,3
linear,A=rot,encoder(d=16),2,-2.9225757718086243,-2.399057388305664,SSL+CCA,1.7760563675659589,0.7445107216753161,16,3
