kind,kernel,method,trial,spec_radius,ps_radius,ps_margin,henrici
omega=3.0,rbf(gamma=4.1410449136618634),PCR,3,1.0002940886541445,1.0041594536732374,0.003865365019092959,0.02535380159503053
omega=3.0,rbf(gamma=8.282089827323727),PCR,3,1.0003341180330807,1.0041903665871963,0.0038562485541155933,0.03173083779520303
omega=3.0,rbf(gamma=16.564179654647454),PCR,3,1.0003630604120237,1.0042127175027937,0.003849657090770009,0.03835641500904527
omega=3.0,rbf(gamma=4.470988566930822),PCR,4,1.0002718337616812,1.0041422672068432,0.003870433445162025,0.03479915506121318
omega=3.0,rbf(gamma=8.941977133861643),PCR,4,1.0002999287254863,1.0002999287254863,0.0,0.03138679487393804
omega=3.0,rbf(gamma=17.883954267723286),PCR,4,1.0003591308187225,1.0042096828521736,0.0038505520334510823,0.03190603443180405
omega=3.0,rbf(gamma=2.5776209622828685),Reduced Rank,0,1.0002677456903042,1.0041391101706343,0.0038713644803300973,0.024618292973080436
omega=3.0,rbf(gamma=5.155241924565737),Reduced Rank,0,1.0003058130482976,1.0003058130482976,0.0,0.01899259072156541
omega=3.0,rbf(gamma=10.310483849131474),Reduced Rank,0,1.000278612022282,1.000278612022282,0.0,0.021293307755054135
omega=3.0,rbf(gamma=4.576783367952412),Reduced Rank,1,1.0002951927557984,1.0041603063219753,0.0038651135661769143,0.027176393688043553
omega=3.0,rbf(gamma=9.153566735904825),Reduced Rank,1,1.0003321311062572,1.004188832171735,0.0038567010654777523,0.030040644614107957
omega=3.0,rbf(gamma=18.30713347180965),Reduced Rank,1,1.000360062414695,1.004210402282425,0.0038503398677298684,0.03927367302841944
omega=3.0,rbf(gamma=3.606908227376386),Reduced Rank,2,1.000289644214941,1.0041560214299616,0.0038663772150207,0.027307379950498825
omega=3.0,rbf(gamma=7.213816454752772),Reduced Rank,2,1.0003041998951336,1.0003041998951336,0.0,0.02648738959025085
omega=3.0,rbf(gamma=14.427632909505544),Reduced Rank,2,1.0001630090342093,1.0001630090342093,0.0,0.028138186802140853
omega=3.0,rbf(gamma=4.1410449136618634),Reduced Rank,3,1.0002940886541445,1.0041594536732374,0.003865365019092959,0.02535380159503053
omega=3.0,rbf(gamma=8.282089827323727),Reduced Rank,3,1.0003341180330807,1.0041903665871963,0.0038562485541155933,0.03173083779520303
omega=3.0,rbf(gamma=16.564179654647454),Reduced Rank,3,1.0003630604120237,1.0042127175027937,0.003849657090770009,0.03835641500904527
omega=3.0,rbf(gamma=4.470988566930822),Reduced Rank,4,1.0002718337616812,1.0041422672068432,0.003870433445162025,0.03479915506121318
omega=3.0,rbf(gamma=8.941977133861643),Reduced Rank,4,1.0002999287254863,1.0002999287254863,0.0,0.03138679487393804
omega=3.0,rbf(gamma=17.883954267723286),Reduced Rank,4,1.0003591308187225,1.0042096828521736,0.0038505520334510823,0.03190603443180405
